reference_response_question_end,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
a and b guest house?,0.0,0.0,0.0,0.0,0.0,1
a better choice for you?,0.0,0.0,0.0,0.0,0.0,1
a better option for you?,0.0,0.0,0.0,0.0,0.0,5
a comparable place that does?,0.0,0.0,0.0,0.0,0.0,7
a deal breaker for you?,0.0,0.0,0.0,0.0,0.0,1
a different day or time?,0.0,0.0,0.0,0.0,0.0,1
a different guesthouse for you?,0.0,0.0,0.0,0.0,0.0,2
a different location for you?,0.0,0.0,0.0,0.0,0.0,1
a different option for you?,0.0,0.0,0.0,0.0,0.0,2
a different place to stay?,0.0,0.0,0.0,0.0,0.0,1
a different restaurant for you?,0.0,0.0,0.0,0.0,0.0,1
a good fit for you?,0.0,0.0,0.0,0.0,0.0,1
a good situation for you?,0.0,0.0,0.0,0.0,0.0,1
a larger room is available?,0.0,0.0,0.0,0.0,0.0,1
a mattress for your needs?,0.0,0.0,0.0,0.0,0.0,1
a more highly rated place?,0.0,0.0,0.0,0.0,0.0,1
a perfect view while eating?,0.0,0.0,0.0,0.0,0.0,1
a place with better ratings?,0.0,0.0022008253094910595,0.0,0.0,0.0,6
a place with better reviews?,0.0,0.0,0.0,0.0,0.0,1
a place with better service?,0.0,0.0,0.0,0.0,0.0,1
a place with free wifi?,0.0,0.0,0.0,0.0,0.0,1
a place with higher ratings?,0.0,0.0,0.0,0.0,0.0,2
a place with lower prices?,0.0,0.0,0.0,0.0,0.0,6
a place with more offerings?,0.0,0.0,0.0,0.0,0.0,1
a place with more options?,0.0,0.0,0.0,0.0,0.0,2
a place with relaxing atmosphere?,0.0,0.0,0.0,0.0,0.0,1
a reservation at hobson's house?,0.0,0.0,0.0,0.0,0.0,1
a reservation at j restaurant?,0.0,0.0,0.0,0.0,0.0,1
a reservation at meze bar?,0.0,0.0,0.0,0.0,0.0,1
a reservation at the restaurant?,0.0,0.0,0.0,0.0,0.0,2
a reservation at this location?,0.0,0.0,0.0,0.0,0.0,1
a reservation at this time?,0.0,0.0,0.0,0.0,0.0,1
a reservation for a table?,0.0,0.0,0.0,0.0,0.0,1
a reservation for this location?,0.0,0.0,0.0,0.0,0.0,1
a reservation for you now?,0.0,0.0,0.0,0.0,0.0,1
a reservation for you there?,0.0,0.0,0.0,0.0,0.0,2
a reservation or keep looking?,0.0,0.0,0.0,0.0,0.0,1
a reservation or look elsewhere?,0.0,0.0,0.0,0.0,0.0,1
a reservation some place else?,0.0,0.0,0.0,0.0,0.0,1
a reservation somewhere else instead?,0.0,0.0,0.0,0.0,0.0,1
a reservation there for you?,0.0,0.0,0.0,0.0,0.0,1
a reservation to dine there?,0.0,0.0,0.0,0.0,0.0,1
a reservation to eat there?,0.0,0.0,0.0,0.0,0.0,1
a restaurant with better views?,0.0,0.0,0.0,0.0,0.0,3
a room at hobsons house?,0.0,0.023272727272727278,0.0,0.0,0.0,1
a room at kirkwood house?,0.0,0.0,0.0,0.0,0.0,1
a room at that hotel?,0.0,0.015153906866614051,0.0,0.0,0.0,1
a room at the ashley?,0.0,0.0,0.0,0.0,0.0,1
a room at this location?,0.0,0.0,0.0,0.0,0.0,1
a room at this time?,0.0,0.0,0.0,0.0,0.0,2
a room at worth house?,0.0,0.0,0.0,0.0,0.0,1
a room for you there?,0.0,0.008268733850129202,0.0,0.0,0.0,3
a room there for you?,0.0,0.012972972972972974,0.0,0.0,0.0,2
a table at curry garden?,0.0,0.0,0.0,0.0,0.0,1
a table at curry prince?,0.0,0.0,0.0,0.0,0.0,1
a table at either restaurant?,0.0,0.0,0.0,0.0,0.0,1
a table at royal spice?,0.0,0.0,0.0,0.0,0.0,1
a table for 5 people?,0.0,0.0,0.0,0.0,0.0,1
a table for you outside?,0.0,0.0,0.0,0.0,0.0,1
a table for you there?,0.0,0.0,0.0,0.0,0.0,6
a table for your party?,0.0,0.0,0.0,0.0,0.0,3
a table indoors for you?,0.0,0.0,0.0,0.0,0.0,2
a table on the patio?,0.0,0.0,0.0,0.0,0.0,1
a table or keep looking?,0.0,0.0,0.0,0.0,0.0,1
a table or keep searching?,0.0,0.0,0.0,0.0,0.0,2
a table outdoors for you?,0.0,0.0,0.0,0.0,0.0,1
a table outside for you?,0.0,0.0,0.0,0.0,0.0,1
a table there for you?,0.0,0.0,0.0,0.0,0.0,3
a table to eat outdoors?,0.0,0.0,0.0,0.0,0.0,1
a table with a view?,0.0,0.0,0.0,0.0,0.0,1
a third option for you?,0.0,0.022351571594877773,0.0,0.0,0.0,1
a window seat for you?,0.0,0.0,0.0,0.0,0.0,1
abou the a and b?,0.0,0.0,0.0,0.0,0.0,1
about a and b guesthouse?,0.0,0.0,0.0,0.0,0.0,1
about any of the places?,0.0,0.0,0.0,0.0,0.0,1
about any of these places?,0.0,0.0,0.0,0.0,0.0,2
about any of these restaurants?,0.0,0.0,0.0,0.0,0.0,1
about any other menu items?,0.0,0.0,0.0,0.0,0.0,1
about caffe uno for you?,0.0,0.0,0.0,0.0,0.0,1
about charlie chan for you?,0.0,0.0,0.0,0.0,0.0,1
about either of these restaurants?,0.0,0.0,0.0,0.0,0.0,1
about india house for you?,0.0,0.0,0.0,0.0,0.0,1
about pizza hut cherry hinton?,0.0,0.0,0.0,0.0,0.0,1
about pizza hut fen ditton?,0.0,0.0,0.0,0.0,0.0,2
about prezzo for you today?,0.0,0.0,0.0,0.0,0.0,1
about rice boat for you?,0.0,0.0,0.0,0.0,0.0,1
about saint johns chop house?,0.0,0.0,0.0,0.0,0.0,1
about the a & b?,0.0,0.0,0.0,0.0,0.0,1
about the acorn for you?,0.0,0.0,0.0,0.0,0.0,1
about the acorn guest house?,0.0,0.0059405940594059415,0.0,0.0,0.0,4
about the allenbell for you?,0.0,0.0,0.0,0.0,0.0,1
about the ashley for you?,0.0,0.024806201550387603,0.0,0.0,0.0,1
about the cambridge chop house?,0.0,0.0,0.0,0.0,0.0,1
about the cow pizza kitchen?,0.0,0.0,0.0,0.0,0.0,1
about the dojo noodle bar?,0.0,0.0,0.0,0.0,0.0,4
about the guesthouse for you?,0.0,0.0,0.0,0.0,0.0,1
about the hotel for you?,0.0,0.0,0.0,0.0,0.0,3
about the huntingdon marriott hotel?,0.0,0.0,0.0,0.0,0.0,1
about the la raza restaurant?,0.0,0.0,0.0,0.0,0.0,1
about the lan hong house?,0.0,0.0,0.0,0.0,0.0,2
about the menu at meghna?,0.0,0.0,0.0,0.0,0.0,1
about the restaurant for you?,0.0,0.0,0.0,0.0,0.0,9
about the rice boat today?,0.0,0.0,0.0,0.0,0.0,1
about the train you need?,0.0,0.0,0.0,0.0,0.0,1
about these restaurants for you?,0.0,0.0,0.0,0.0,0.0,1
about this location for you?,0.0,0.0,0.0,0.0,0.0,5
about this spot for you?,0.0,0.0,0.0,0.0,0.0,1
additional information about the hotel?,0.0,0.0,0.0,0.0,0.0,1
additional information about the lodge?,0.0,0.0,0.0,0.0,0.0,1
additional information about the nirala?,0.0,0.0,0.0,0.0,0.0,1
additional questions about royal spice?,0.0,0.0,0.0,0.0,0.0,1
additional questions about the gonville?,0.0,0.0,0.0,0.0,0.0,1
additional questions about the hotel?,0.0,0.0,0.0,0.0,0.0,1
additional questions about their menu?,0.0,0.0,0.0,0.0,0.0,1
additional questions about this location?,0.0,0.0,0.0,0.0,0.0,1
additional questions for you today?,0.0,0.0,0.0,0.0,0.0,1
affordable place that serves pizza?,0.0,0.0,0.0,0.0,0.0,1
affordable restaurant that sells goulash?,0.0,0.0,0.0,0.0,0.0,1
ahead and book a room?,0.0,0.024273072060682688,0.0,0.0,0.0,1
ahead and book a table?,0.0,0.0,0.0,0.0,0.0,1
ahead and book it now?,0.0,0.0,0.0,0.0,0.0,1
ahead and book your table?,0.0,0.0,0.0,0.0,0.0,1
ahead and make a reservation?,0.0,0.0,0.0,0.0,0.0,2
ahead and reserve a room?,0.0,0.0,0.0,0.0,0.0,1
ahead with making a reservation?,0.0,0.0,0.0,0.0,0.0,1
all right for your needs?,0.0,0.0,0.0,0.0,0.0,1
also be for three people?,0.0,0.0,0.0,0.0,0.0,1
amenities are you looking for?,0.0,0.0,0.0,0.0,0.0,1
an asian restaurant that does?,0.0,0.0,0.0,0.0,0.0,1
an different hotel for you?,0.0,0.0,0.0,0.0,0.0,1
an option with better internet?,0.0,0.0,0.0,0.0,0.0,1
an option with better reviews?,0.0,0.023762376237623766,0.0,0.0,0.0,1
an option with better value?,0.0,0.0,0.0,0.0,0.0,1
an option with cleaner rooms?,0.0,0.0,0.0,0.0,0.0,1
an option with larger rooms?,0.0,0.0,0.0,0.0,0.0,1
and book a reservation now?,0.0,0.0,0.0,0.0,0.0,1
and book it for you?,0.0,0.0,0.0,0.0,0.0,1
and book that for you?,0.0,0.0,0.0,0.0,0.0,1
and book you a table?,0.0,0.0,0.0,0.0,0.0,1
and make a reservation anyway?,0.0,0.0,0.0,0.0,0.0,1
and pizza hut as well?,0.0,0.0,0.0,0.0,0.0,1
another chinese restaurant for you?,0.0,0.0,0.0,0.0,0.0,1
another indian restaurant for you?,0.0,0.0,0.0,0.0,0.0,1
another location for your stay?,0.0,0.009815950920245401,0.0,0.0,0.0,2
another location with larger rooms?,0.0,0.0,0.0,0.0,0.0,1
another place that serves croquetas?,0.0,0.0,0.0,0.0,0.0,1
another place that serves it?,0.0,0.0,0.0,0.0,0.0,1
another place with better decor?,0.0,0.0,0.0,0.0,0.0,2
another place with better prices?,0.0,0.0,0.0,0.0,0.0,3
another place with better ratings?,0.0,0.0,0.0,0.0,0.0,17
another place with better reviews?,0.0,0.0,0.0,0.0,0.0,7
another place with better value?,0.0,0.0,0.0,0.0,0.0,1
another place with better views?,0.0,0.0,0.0,0.0,0.0,2
another place with generous portions?,0.0,0.0,0.0,0.0,0.0,1
another place with higher ratings?,0.0,0.0,0.0,0.0,0.0,2
another place with large portions?,0.0,0.0,0.0,0.0,0.0,1
another place with lower prices?,0.0,0.0,0.0,0.0,0.0,5
another place with more options?,0.0,0.0,0.0,0.0,0.0,1
another restaurant option for you?,0.0,0.0,0.0,0.0,0.0,1
another restaurant with better decor?,0.0,0.0,0.0,0.0,0.0,1
another restaurant with lower prices?,0.0,0.0,0.0,0.0,0.0,1
answer anything else about kohinoor?,0.0,0.0,0.0,0.0,0.0,1
answer anything else for you?,0.0,0.0,0.0,0.0,0.0,15
answer for you about nandos?,0.0,0.0,0.0,0.0,0.0,1
any additional information before booking?,0.0,0.0,0.0,0.0,0.0,1
any additional questions for you?,0.0,0.0,0.0,0.0,0.0,2
any changes to your reservation?,0.0,0.0,0.0,0.0,0.0,1
any further information about them?,0.0,0.0,0.0,0.0,0.0,1
any further questions about ask?,0.0,0.0,0.0,0.0,0.0,1
any more information about it?,0.0,0.0,0.0,0.0,0.0,3
any more information about them?,0.0,0.0,0.0,0.0,0.0,1
any more information for you?,0.0,0.0033898305084745766,0.0,0.0,0.0,6
any more questions about nandos?,0.0,0.0,0.0,0.0,0.0,1
any more questions about wagamama?,0.0,0.0,0.0,0.0,0.0,1
any more questions for me?,0.0,0.0,0.0,0.0,0.0,1
any more questions for you?,0.0,0.0,0.0,0.0,0.0,2
any of the restaurants mentioned?,0.0,0.0,0.0,0.0,0.0,1
any of the three restaurants?,0.0,0.0,0.0,0.0,0.0,1
any of them a try?,0.0,0.0,0.0,0.0,0.0,1
any other assistance to you?,0.0,0.0,0.0,0.0,0.0,1
any other info from me?,0.0,0.0,0.0,0.0,0.0,1
any other information about hakka?,0.0,0.0,0.0,0.0,0.0,1
any other information about them?,0.0,0.0,0.0,0.0,0.0,1
any other information for you?,0.0,0.0,0.0,0.0,0.0,3
any other information from me?,0.0,0.0,0.0,0.0,0.0,6
any other information you need?,0.0,0.0,0.0,0.0,0.0,4
any other questions about dojo?,0.0,0.0,0.0,0.0,0.0,1
any other questions about eraina?,0.0,0.0,0.0,0.0,0.0,1
any other questions about gonville?,0.0,0.0,0.0,0.0,0.0,1
any other questions about meghna?,0.0,0.0,0.0,0.0,0.0,1
any other questions about them?,0.0,0.0,0.0,0.0,0.0,2
any other questions about wagamama?,0.0,0.0,0.0,0.0,0.0,1
any other questions for me?,0.0,0.0,0.0,0.0,0.0,4
any other questions for you?,0.0,0.0,0.0,0.0,0.0,17
anything else about cafe uno?,0.0,0.0,0.0,0.0,0.0,1
anything else about curry prince?,0.0,0.0,0.0,0.0,0.0,1
anything else about darry's cookhouse?,0.0,0.0,0.0,0.0,0.0,1
anything else about el shaddai?,0.0,0.0,0.0,0.0,0.0,1
anything else about el sheddai?,0.0,0.0,0.0,0.0,0.0,1
anything else about india house?,0.0,0.0,0.0,0.0,0.0,1
anything else about the acorn?,0.0,0.0,0.0,0.0,0.0,1
anything else about the avalon?,0.0,0.0,0.0,0.0,0.0,1
anything else about the establishment?,0.0,0.0,0.0,0.0,0.0,1
anything else about the guesthouse?,0.0,0.0,0.0,0.0,0.0,1
anything else about the hotel?,0.0,0.005453252623452255,0.0,0.0,0.0,9
anything else about the place?,0.0,0.0,0.0,0.0,0.0,1
anything else about the restaurant?,0.0,0.0,0.0,0.0,0.0,6
anything else about the stazione?,0.0,0.0,0.0,0.0,0.0,1
anything else about the warkworth?,0.0,0.0,0.0,0.0,0.0,1
anything else for you today?,0.0,0.0,0.0,0.0,0.0,6
anything else that you need?,0.0,0.0,0.0,0.0,0.0,3
anything else today?,0.0,0.0,0.0,0.0,0.0,1
anything else?,0.0,0.0,0.0,0.0,0.0,2
are you good to go?,0.0,0.0,0.0,0.0,0.0,1
are you interested?,0.0,0.0,0.0,0.0,0.0,2
are you still interested?,0.0,0.0,0.0,0.0,0.0,6
assist you with anything else?,0.0,0.004455445544554455,0.0,0.0,0.0,4
assist you with something else?,0.0,0.0,0.0,0.0,0.0,1
assistance in booking a room?,0.0,0.0,0.0,0.0,0.0,1
assistance with booking a table?,0.0,0.0,0.0,0.0,0.0,1
at a different dining option?,0.0,0.0,0.0,0.0,0.0,1
at another italian restaurant instead?,0.0,0.02033898305084746,0.0,0.0,0.0,1
at another location that does?,0.0,0.0,0.0,0.0,0.0,1
at autumn house for you?,0.0,0.0,0.0,0.0,0.0,1
at efes restaurant for you?,0.0,0.0,0.0,0.0,0.0,1
at hobsons house for you?,0.0,0.018658892128279887,0.0,0.0,0.0,1
at one of the establishments?,0.0,0.0,0.0,0.0,0.0,1
at pizza hut city centre?,0.0,0.0,0.0,0.0,0.0,1
at rosa's bed and breakfast?,0.0,0.018062088428974606,0.0,0.0,0.0,1
at some other nearby options?,0.0,0.0,0.0,0.0,0.0,1
at the chiquito restaurant bar?,0.0,0.0,0.0,0.0,0.0,1
at the restaurant for you?,0.0,0.0,0.0,0.0,0.0,2
availability at your desired time?,0.0,0.0,0.0,0.0,0.0,1
availability for your desired date?,0.0,0.0,0.0,0.0,0.0,1
availability for your preferred days?,0.0,0.0,0.0,0.0,0.0,1
availability for your travel dates?,0.0,0.0,0.0,0.0,0.0,3
availability of a large room?,0.0,0.0,0.0,0.0,0.0,5
availability of the larger rooms?,0.0,0.0,0.0,0.0,0.0,1
availability on your preferred nights?,0.0,0.0,0.0,0.0,0.0,1
be a deal-breaker for you?,0.0,0.0,0.0,0.0,0.0,1
be anything else you need?,0.0,0.0,0.0,0.0,0.0,1
be interested in a reservation?,0.0,0.0,0.0,0.0,0.0,2
be of further assistance today?,0.0,0.0,0.0,0.0,0.0,1
bed and breakfast for you?,0.0,0.02033898305084746,0.0,0.0,0.0,1
before booking it for you?,0.0,0.0,0.0,0.0,0.0,1
better decorated option for you?,0.0,0.0,0.0,0.0,0.0,1
better ratings for bed comfort?,0.0,0.0,0.0,0.0,0.0,1
better ratings on the view?,0.0,0.0,0.0,0.0,0.0,1
better ratings on their wifi?,0.0,0.0,0.0,0.0,0.0,1
better reviews on bed comfort?,0.0,0.0,0.0,0.0,0.0,1
better reviews on their decor?,0.0,0.0,0.0,0.0,0.0,1
better view than yu garden?,0.0,0.0,0.0,0.0,0.0,1
book a reservation at allenbell?,0.0,0.0,0.0,0.0,0.0,1
book a reservation for dinner?,0.0,0.0,0.0,0.0,0.0,1
book a reservation for you?,0.0,0.002882882882882883,0.0,0.0,0.0,9
book a room for you?,0.0,0.002263271005606813,0.0,0.0,0.0,54
book a room somewhere else?,0.0,0.0,0.0,0.0,0.0,2
book a room there anyway?,0.0,0.0,0.0,0.0,0.0,1
book a room there tonight?,0.0,0.0,0.0,0.0,0.0,3
book a stay for you?,0.0,0.0,0.0,0.0,0.0,2
book a table at kohinoor?,0.0,0.0,0.0,0.0,0.0,1
book a table at wagamama?,0.0,0.019631901840490802,0.0,0.0,0.0,1
book a table for you?,0.0,0.0012701470105294618,0.0,0.0,0.0,57
book it for your stay?,0.0,0.0,0.0,0.0,0.0,1
book the huntington marriott hotel?,0.0,0.0,0.0,0.0,0.0,1
book the reservation at rajmahal?,0.0,0.0,0.0,0.0,0.0,1
book the room for you?,0.0,0.0,0.0,0.0,0.0,3
book worth house for you?,0.0,0.0,0.0,0.0,0.0,1
book you a reservation there?,0.0,0.0,0.0,0.0,0.0,1
book you a room there?,0.0,0.0,0.0,0.0,0.0,4
book you a room today?,0.0,0.022351571594877773,0.0,0.0,0.0,1
book you a table now?,0.0,0.0,0.0,0.0,0.0,1
booking a room at finches?,0.0,0.0,0.0,0.0,0.0,1
booking a table at cotto?,0.0,0.0,0.0,0.0,0.0,1
booking rooms for your party?,0.0,0.0,0.0,0.0,0.0,1
british restaurant with outdoor dining?,0.0,0.0,0.0,0.0,0.0,1
can answer about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
can answer for you ?,0.0,0.0,0.0,0.0,0.0,1
can answer for you today?,0.0,0.0,0.0,0.0,0.0,5
can book you a room?,0.0,0.0,0.0,0.0,0.0,1
can do for you today?,0.0,0.0,0.0,0.0,0.0,4
can do to assist you?,0.0,0.0,0.0,0.0,0.0,1
can find out for you?,0.0,0.0,0.0,0.0,0.0,3
can help you with today?,0.0,0.000919246256564017,0.0,0.0,0.0,43
can i answer additional questions?,0.0,0.0,0.0,0.0,0.0,1
can i answer another question?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else?,0.0,0.001140142517814727,0.0,0.0,0.0,20
can i book it?,0.0,0.0,0.0,0.0,0.0,2
can i do for you?,0.0,0.0,0.0,0.0,0.0,1
can i help you with?,0.0,0.0,0.0,0.0,0.0,2
can inquire directly with them?,0.0,0.0,0.0,0.0,0.0,1
can tell you about them?,0.0,0.0,0.0,0.0,0.0,7
can we book?,0.0,0.0,0.0,0.0,0.0,1
care to book a room?,0.0,0.0,0.0,0.0,0.0,1
care to make a reservation?,0.0,0.0,0.0,0.0,0.0,1
chance and make a reservation?,0.0,0.0,0.0,0.0,0.0,1
check for some larger rooms?,0.0,0.0,0.0,0.0,0.0,1
check into some other places?,0.0,0.0,0.0,0.0,0.0,1
check on availability for you?,0.0,0.0,0.0,0.0,0.0,10
check on some other places?,0.0,0.011881188118811883,0.0,0.0,0.0,2
check out a different place?,0.0,0.0,0.0,0.0,0.0,10
check out some other places?,0.0,0.000808421052631579,0.0,0.0,0.0,19
check out the warkworth house?,0.0,0.0,0.0,0.0,0.0,1
check rosa's bed and breakfast?,0.0,0.0,0.0,0.0,0.0,1
choose another hotel for you?,0.0,0.0,0.0,0.0,0.0,1
choose another option for you?,0.0,0.0,0.0,0.0,0.0,1
choose between the two restaurants?,0.0,0.0,0.0,0.0,0.0,1
comparable restaurant with better ratings?,0.0,0.0,0.0,0.0,0.0,1
confusing huh?,0.0,0.010786516853932584,0.0,0.0,0.0,1
continue looking at other options?,0.0,0.0,0.0,0.0,0.0,1
continue on with a booking?,0.0,0.0,0.0,0.0,0.0,1
continue to book the room?,0.0,0.0,0.0,0.0,0.0,1
cow pizza kitchen and bar?,0.0,0.0,0.0,0.0,0.0,1
days will you be travelling?,0.0,0.0,0.0,0.0,0.0,1
days would you be staying?,0.0,0.025363276089828274,0.0,0.0,0.0,1
described as a little quieter?,0.0,0.0,0.0,0.0,0.0,1
different indian option for you?,0.0,0.0,0.0,0.0,0.0,1
directly about their wifi policies?,0.0,0.0,0.0,0.0,0.0,1
do anything else for you?,0.0,0.0,0.0,0.0,0.0,1
do you have additional questions?,0.0,0.01369269648145819,0.0,0.0,0.0,3
do you have another question?,0.0,0.0,0.0,0.0,0.0,2
do you have anymore questions?,0.0,0.0,0.0,0.0,0.0,1
do you have further questions?,0.0,0.0,0.0,0.0,0.0,2
do you have futher questions?,0.0,0.0,0.0,0.0,0.0,1
do you have more questions?,0.0,0.0,0.0,0.0,0.0,6
do you have other questions?,0.0,0.0,0.0,0.0,0.0,4
do you need a reservation?,0.0,0.0,0.0,0.0,0.0,2
do you need anymore information?,0.0,0.011175785797438886,0.0,0.0,0.0,2
do you need anything else?,0.0,0.0008328513591671486,0.0,0.0,0.0,19
do you need more information?,0.0,0.0015841584158415845,0.0,0.0,0.0,15
do you need more specifics?,0.0,0.0,0.0,0.0,0.0,1
do you want a booking?,0.0,0.0,0.0,0.0,0.0,2
do you want a reservation?,5.4695452801351485e-12,0.002195717554343133,0.0017825311942958999,0.0,0.0017825311942958999,51
do you want a room?,0.0,0.0,0.0,0.0,0.0,1
do you want anymore information?,0.0,0.0,0.0,0.0,0.0,1
do you want more options?,0.0,0.0,0.0,0.0,0.0,1
do you want the reservation?,0.0,0.0,0.0,0.0,0.0,1
does it sound to you?,0.0,0.0,0.0,0.0,0.0,2
does that sound good?,0.0,0.0,0.0,0.0,0.0,3
does that sound ok?,0.0,0.0,0.0,0.0,0.0,2
does that sound to you?,0.0,0.0,0.0,0.0,0.0,8
does that work for you?,0.0,0.0,0.0,0.0,0.0,3
else about either of them?,0.0,0.0,0.0,0.0,0.0,1
else about graffiti for you?,0.0,0.0,0.0,0.0,0.0,1
else about home from home?,0.0,0.0,0.0,0.0,0.0,1
else about the golden wok?,0.0,0.0,0.0,0.0,0.0,1
else about the huntingdon marriott?,0.0,0.0,0.0,0.0,0.0,1
else about the kirkwood house?,0.0,0.0,0.0,0.0,0.0,1
else about the worth house?,0.0,0.0,0.0,0.0,0.0,1
else before booking for you?,0.0,0.0,0.0,0.0,0.0,1
else before making a reservation?,0.0,0.0,0.0,0.0,0.0,1
else for your trip today?,0.0,0.023272727272727278,0.0,0.0,0.0,1
else i can help with?,0.0,0.005439093484419266,0.0,0.0,0.0,5
else like book a room?,0.0,0.021500559910414344,0.0,0.0,0.0,1
else may i help you?,0.0,0.0,0.0,0.0,0.0,1
else or is that all?,0.0,0.0,0.0,0.0,0.0,1
else or is that ok?,0.0,0.0,0.0,0.0,0.0,1
else or make a booking?,0.0,0.0,0.0,0.0,0.0,1
else or make a reservation?,0.0,0.0,0.0,0.0,0.0,1
else to help you decide?,0.0,0.0,0.0,0.0,0.0,1
else to make a reservation?,0.0,0.0,0.0,0.0,0.0,1
else you about the hotel?,0.0,0.0,0.0,0.0,0.0,1
else you need help with?,0.0,0.0,0.0,0.0,0.0,1
else you need to know?,0.0,0.003281292697600546,0.0,0.0,0.0,41
else you want assistance with?,0.0,0.0,0.0,0.0,0.0,1
else you want to know?,0.0,0.0,0.0,0.0,0.0,1
else you'd like to ask?,0.0,0.0,0.0,0.0,0.0,1
else you'd like to know?,0.0,0.0,0.0,0.0,0.0,36
"else, or answer other questions?",0.0,0.0,0.0,0.0,0.0,1
elsewhere for a different place?,0.0,0.0,0.0,0.0,0.0,1
elsewhere or is that okay?,0.0,0.0,0.0,0.0,0.0,1
"elsewhere, what do you think?",0.0,0.0,0.0,0.0,0.0,1
express by holiday inn cambridge?,0.0,0.0,0.0,0.0,0.0,1
finalize that reservation for you?,0.0,0.0,0.0,0.0,0.0,1
find a less expensive place?,0.0,0.0,0.0,0.0,0.0,1
find a more affordable restaurant?,0.0,0.0,0.0,0.0,0.0,1
find a more quiet establishment?,0.0,0.0,0.0,0.0,0.0,1
find a more quiet hotel?,0.0,0.0,0.0,0.0,0.0,1
find a more quiet place?,0.0,0.0,0.0,0.0,0.0,2
find a more suitable place?,0.0,0.0,0.0,0.0,0.0,1
find a place that does?,0.0,0.0,0.0,0.0,0.0,4
find a time that works?,0.0,0.0,0.0,0.0,0.0,1
find a time that's available?,0.0,0.0,0.0,0.0,0.0,1
find another hotel for you?,0.0,0.0,0.0,0.0,0.0,1
