reference_response_question_end,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
find another option for you?,0.0,0.0,0.0,0.0,0.0,8
find another place for you?,0.0,0.0016666666666666663,0.0,0.0,0.0,8
find another place that does?,0.0,0.0,0.0,0.0,0.0,1
find another place to stay?,0.0,0.0,0.0,0.0,0.0,1
find another restaurant for you?,0.0,0.0,0.0,0.0,0.0,4
"find another, less expensive restaurant?",0.0,0.0,0.0,0.0,0.0,1
"find another, more quiet place?",0.0,0.0,0.0,0.0,0.0,2
"find another, more reasonable, place?",0.0,0.0,0.0,0.0,0.0,1
find out more about it?,0.0,0.0,0.0,0.0,0.0,1
find out more about them?,0.0,0.0,0.0,0.0,0.0,4
find out more about this?,0.0,0.0,0.0,0.0,0.0,1
find out more for you?,0.0,0.0,0.0,0.0,0.0,1
find restaurants with higher ratings?,0.0,0.011842105263157895,0.0,0.0,0.0,1
for a better hotel option?,0.0,0.0,0.0,0.0,0.0,1
for a different restaurant option?,0.0,0.0,0.0,0.0,0.0,1
for a more affordable option?,0.0,0.0,0.0,0.0,0.0,1
for a reservation for you?,0.0,0.0,0.0,0.0,0.0,1
for an outdoor option elsewhere?,0.0,0.0,0.0,0.0,0.0,1
for another day or time?,0.0,0.0,0.0,0.0,0.0,1
for another hotel for you?,0.0,0.0,0.0,0.0,0.0,1
for another option for you?,0.0,0.0,0.0,0.0,0.0,11
for another place for you?,0.0,0.0,0.0,0.0,0.0,1
for another spot for you?,0.0,0.0,0.0,0.0,0.0,1
for me to book it?,0.0,0.023272727272727278,0.0,0.0,0.0,1
for places with outdoor seating?,0.0,0.0,0.0,0.0,0.0,1
for something better for you?,0.0,0.0,0.0,0.0,0.0,1
for something else fo you?,0.0,0.0,0.0,0.0,0.0,1
for something with better internet?,0.0,0.0,0.0,0.0,0.0,1
for somewhere else for you?,0.0,0.0,0.0,0.0,0.0,1
for the outdoor dining area?,0.0,0.0,0.0,0.0,0.0,1
for you about archway house?,0.0,0.0,0.0,0.0,0.0,1
for you about autumn house?,0.0,0.0,0.0,0.0,0.0,1
for you about bankok city?,0.0,0.0,0.0,0.0,0.0,1
for you about el shaddai?,0.0,0.0,0.0,0.0,0.0,1
for you about fitzbillies restaurant?,0.0,0.0,0.0,0.0,0.0,1
for you about golden house?,0.0,0.0,0.0,0.0,0.0,1
for you about hobsons house?,0.0,0.0,0.0,0.0,0.0,1
for you about meze bar?,0.0,0.0,0.0,0.0,0.0,1
for you about restaurant alimentum?,0.0,0.0,0.0,0.0,0.0,1
for you about the gandhi?,0.0,0.0,0.0,0.0,0.0,2
for you about the hotel?,0.0,0.00898911744354281,0.0,0.0,0.0,6
for you about the restaurant?,0.0,0.004324324324324324,0.0,0.0,0.0,6
for you about this location?,0.0,0.0,0.0,0.0,0.0,2
for you about this restaurant?,0.0,0.0,0.0,0.0,0.0,1
for you at ashley hotel?,0.0,0.0,0.0,0.0,0.0,1
for you at cambridge belfry?,0.0,0.0,0.0,0.0,0.0,1
for you at curry prince?,0.0,0.0,0.0,0.0,0.0,1
for you at darrys cookhouse?,0.0,0.0,0.0,0.0,0.0,1
for you at hk fusion?,0.0,0.0,0.0,0.0,0.0,1
for you at royal standard?,0.0,0.0,0.0,0.0,0.0,2
for you at this time?,0.0,0.0,0.0,0.0,0.0,4
for you at travellers rest?,0.0,0.0,0.0,0.0,0.0,1
for you to stay instead?,0.0,0.0,0.0,0.0,0.0,1
further assistance to you today?,0.0,0.0,0.0,0.0,0.0,1
further information about that option?,0.0,0.0,0.0,0.0,0.0,1
further questions about the property?,0.0,0.0,0.0,0.0,0.0,1
further questions about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
"fusion, or book a table?",0.0,0.0,0.0,0.0,0.0,1
garden or any other facility?,0.0,0.0,0.0,0.0,0.0,1
get more information about it?,0.0,0.0,0.0,0.0,0.0,1
get more information about them?,0.0,0.0,0.0,0.0,0.0,2
get you any more information?,0.0,0.0,0.0,0.0,0.0,1
give the hotel a try?,0.0,0.0,0.0,0.0,0.0,1
give this one a shot?,0.0,0.0,0.0,0.0,0.0,1
give you more information first?,0.0,0.0,0.0,0.0,0.0,1
go ahead and book it?,0.0,0.0,0.0,0.0,0.0,4
go ahead with the booking?,0.0,0.011401425178147271,0.0,0.0,0.0,2
go ahead with your reservation?,0.0,0.0,0.0,0.0,0.0,1
going to be a problem?,0.0,0.0,0.0,0.0,0.0,6
going to be an issue?,0.0,0.0,0.0,0.0,0.0,1
good luck chinese food takeaway?,0.0,0.0,0.0,0.0,0.0,1
gourmet burger kitchen a try?,0.0,0.0,0.0,0.0,0.0,1
great view from your table?,0.0,0.0,0.0,0.0,0.0,1
guests want to look elsewhere?,0.0,0.0,0.0,0.0,0.0,1
has no alcohol at all?,0.0,0.0,0.0,0.0,0.0,1
have a large room available?,0.0,0.0,0.0,0.0,0.0,2
have a larger room available?,0.0,0.0,0.0,0.0,0.0,3
have any more questions today?,0.0,0.0,0.0,0.0,0.0,1
have me find another restaurant?,0.0,0.0,0.0,0.0,0.0,1
have you made a decision?,0.0,0.0,0.0,0.0,0.0,1
hear about a different option?,0.0,0.0,0.0,0.0,0.0,1
hear about some other options?,0.0,0.0,0.0,0.0,0.0,1
help in booking a room?,0.0,0.0,0.0,0.0,0.0,1
help in booking a table?,0.0,0.0,0.0,0.0,0.0,3
help in making a reservation?,0.0,0.0,0.0,0.0,0.0,1
help narrow down your choice?,0.0,0.0,0.0,0.0,0.0,1
help with any other information?,0.0,0.0,0.0,0.0,0.0,1
help with anything else today?,0.0,0.024273072060682688,0.0,0.0,0.0,1
help with booking a table?,0.0,0.0,0.0,0.0,0.0,4
help you book a table?,0.0,0.0,0.0,0.0,0.0,1
help you choose between them?,0.0,0.0,0.0,0.0,0.0,1
help you find another option?,0.0,0.0,0.0,0.0,0.0,1
help you make a booking?,0.0,0.0,0.0,0.0,0.0,1
help you make a reservation?,0.0,0.0,0.0,0.0,0.0,3
help you with anymore information?,0.0,0.0,0.0,0.0,0.0,1
help you with anything else?,0.0,0.0018819560516444656,0.0,0.0,0.0,104
help you with everything else?,0.0,0.0,0.0,0.0,0.0,1
help you with something else?,0.0,0.0,0.0,0.0,0.0,2
higher rating for indoor decor?,0.0,0.0057599999999999995,0.0,0.0,0.0,2
hotel booking at this time?,0.0,0.0,0.0,0.0,0.0,1
hotel to ask them directly?,0.0,0.0,0.0,0.0,0.0,1
hotel's availability for your stay?,0.0,0.0,0.0,0.0,0.0,1
i answer any other questions?,0.0,0.0,0.0,0.0,0.0,6
i answer any other questions??,0.0,0.0,0.0,0.0,0.0,1
i answer anything for you?,0.0,0.0,0.0,0.0,0.0,1
i be of further assistance?,0.0,0.0,0.0,0.0,0.0,2
i book it for you?,0.0,0.0026588880866438417,0.0,0.0,0.0,24
i book that for you?,0.0,0.0,0.0,0.0,0.0,1
i book the gonville hotel?,0.0,0.020711974110032366,0.0,0.0,0.0,1
i book this for you?,0.0,0.0,0.0,0.0,0.0,3
i book you a room?,0.0,0.0,0.0,0.0,0.0,4
i book you a table?,0.0,0.006826037126278078,0.0,0.0,0.0,6
i book you any rooms?,0.0,0.0,0.0,0.0,0.0,1
i can answer for you?,0.0,0.0,0.0,0.0,0.0,11
i can assist you with?,0.0,0.0,0.0,0.0,0.0,3
i can do for you?,0.0,0.0013257837315287944,0.0,0.0,0.0,13
i can find for you?,0.0,0.00907671973876251,0.0,0.0,0.0,15
i can help with today?,0.0,0.0,0.0,0.0,0.0,2
i can help you find?,0.0,0.0,0.0,0.0,0.0,1
i can help you with?,0.0,0.0008144215937239468,0.0,0.0,0.0,168
i can help you with??,0.0,0.0,0.0,0.0,0.0,1
i can provide you today?,0.0,0.0,0.0,0.0,0.0,1
i check availability for you?,0.0,0.0,0.0,0.0,0.0,1
i choose another one instead?,0.0,0.0,0.0,0.0,0.0,1
i continue with the booking?,0.0,0.0,0.0,0.0,0.0,1
i could help you with?,0.0,0.0,0.0,0.0,0.0,1
i find an alternative location?,0.0,0.0,0.0,0.0,0.0,1
i find out for you?,0.0,0.0,0.0,0.0,0.0,2
i find you something else?,0.0,0.02033898305084746,0.0,0.0,0.0,1
i help answer anything else?,0.0,0.0,0.0,0.0,0.0,1
i help with another location?,0.0,0.0,0.0,0.0,0.0,1
i help with anything else?,0.0,0.0038787878787878796,0.0,0.0,0.0,6
i look at other options?,0.0,0.0,0.0,0.0,0.0,1
i look for another hotel?,0.0,0.0,0.0,0.0,0.0,1
i look for another option?,0.0,0.005015673981191223,0.0,0.0,0.0,6
i look for another place?,0.0,0.0,0.0,0.0,0.0,12
i look for more reviews?,0.0,0.0,0.0,0.0,0.0,1
i look for other places?,0.0,0.0014672168729940396,0.0,0.0,0.0,9
i look for something better?,0.0,0.0,0.0,0.0,0.0,1
i look for something else?,0.0,0.010963032876323029,0.0,0.0,0.0,4
i make a reservation ?,0.0,0.0,0.0,0.0,0.0,1
i make the reservation now?,0.0,0.0,0.0,0.0,0.0,1
i may help you with?,0.0,0.0,0.0,0.0,0.0,1
i reserve a table ?,0.0,0.0,0.0,0.0,0.0,1
i search for another location?,0.0,0.0,0.0,0.0,0.0,1
i search for another option?,0.0,0.0,0.0,0.0,0.0,4
i search for something better?,0.0,0.0,0.0,0.0,0.0,1
i search for something else?,0.0,0.007757575757575759,0.0,0.0,0.0,3
i search for something quieter?,0.0,0.0,0.0,0.0,0.0,2
i suggest some place else?,0.0,0.0,0.0,0.0,0.0,1
i tell you about them?,0.0,0.0,0.0,0.0,0.0,3
i try to book it?,0.0,0.0,0.0,0.0,0.0,1
if that's acceptable for you?,0.0,0.0,0.0,0.0,0.0,1
in booking a room there?,0.0,0.0,0.0,0.0,0.0,2
in booking a table there?,0.0,0.0,0.0,0.0,0.0,1
in knowing any other information?,0.0,0.025363276089828274,0.0,0.0,0.0,1
in making a reservation there?,0.0,0.009288824383164007,0.0,0.0,0.0,3
in the east for wi-fi?,0.0,0.0,0.0,0.0,0.0,1
in the gourmet burger kitchen?,0.0,0.0,0.0,0.0,0.0,1
in the same general area?,0.0,0.0,0.0,0.0,0.0,1
in the the copper kettle?,0.0,0.0,0.0,0.0,0.0,1
indian options in the west?,0.0,0.0,0.0,0.0,0.0,1
indoor decor important for you?,0.0,0.0,0.0,0.0,0.0,1
info on the food portions?,0.0,0.0,0.0,0.0,0.0,1
info or to keep searching?,0.0,0.0,0.0,0.0,0.0,1
information about either of them?,0.0,0.0,0.0,0.0,0.0,1
information about restaurant two two?,0.0,0.0,0.0,0.0,0.0,1
information about the curry prince?,0.0,0.0,0.0,0.0,0.0,1
information about the lucky star?,0.0,0.0,0.0,0.0,0.0,1
information about the portion sizes?,0.0,0.0,0.0,0.0,0.0,1
information about those two restaurants?,0.0,0.0,0.0,0.0,0.0,1
information before making a booking?,0.0,0.0,0.0,0.0,0.0,1
information on any thing else?,0.0,0.0,0.0,0.0,0.0,1
information on arbury lodge guesthouse?,0.0,0.0,0.0,0.0,0.0,1
information on ian hong house?,0.0,0.0,0.0,0.0,0.0,1
information on nando's food portions?,0.0,0.0,0.0,0.0,0.0,1
information on the second one?,0.0,0.023762376237623766,0.0,0.0,0.0,1
information or make a reservation?,0.0,0.0,0.0,0.0,0.0,1
information you need to know?,0.0,0.0,0.0,0.0,0.0,1
instead that might be quieter?,0.0,0.0,0.0,0.0,0.0,1
interested in a table there?,0.0,0.0,0.0,0.0,0.0,1
interested in booking a room?,0.0,0.0031007751937984504,0.0,0.0,0.0,8
interested in booking a stay?,0.0,0.0,0.0,0.0,0.0,1
interested in booking a table?,0.0,0.0,0.0,0.0,0.0,7
interested in changing your reservation?,0.0,0.0,0.0,0.0,0.0,1
interested in exploring other options?,0.0,0.0225705329153605,0.0,0.0,0.0,1
interested in knowing anything else?,0.0,0.0,0.0,0.0,0.0,1
interested in making a reservation?,0.0,0.004314779146842052,0.0,0.0,0.0,14
interested in reserving a table?,0.0,0.0,0.0,0.0,0.0,1
interesting in making a reservation?,0.0,0.0,0.0,0.0,0.0,1
into another location for you?,0.0,0.0,0.0,0.0,0.0,1
into it a bit further?,0.0,0.0,0.0,0.0,0.0,1
into this for better information?,0.0,0.0,0.0,0.0,0.0,1
is a large room available?,0.0,0.0,0.0,0.0,0.0,2
is a larger room available?,0.0,0.0,0.0,0.0,0.0,1
is known for big portions?,0.0,0.0,0.0,0.0,0.0,1
is that a deal-breaker?,0.0,0.0,0.0,0.0,0.0,1
is that all you need?,0.0,0.0,0.0,0.0,0.0,1
is that enough?,0.0,0.0,0.0,0.0,0.0,1
is that ok with you?,0.0,0.0,0.0,0.0,0.0,1
is that okay with you?,0.0,0.0,0.0,0.0,0.0,2
is that okay?,0.0,0.0,0.0,0.0,0.0,3
is that within your budget?,0.0,0.0,0.0,0.0,0.0,1
is there anything else?,0.0,0.0,0.0,0.0,0.0,2
is this helpful?,0.0,0.0,0.0,0.0,0.0,1
it before making a reservation?,0.0,0.0,0.0,0.0,0.0,1
it will work for you?,0.0,0.0,0.0,0.0,0.0,1
it would work for you?,0.0,0.0,0.0,0.0,0.0,1
keep your reservation at eraina?,0.0,0.0,0.0,0.0,0.0,1
know about the alexander b&b?,0.0,0.0,0.0,0.0,0.0,1
know about the archway house?,0.0,0.0,0.0,0.0,0.0,1
know about the bedouin restaurant?,0.0,0.0,0.0,0.0,0.0,1
know about the guest house?,0.0,0.0,0.0,0.0,0.0,2
know anything else about it?,0.0,0.0,0.0,0.0,0.0,10
know anything else about them?,0.0,0.0,0.0,0.0,0.0,41
know more about ali baba?,0.0,0.0,0.0,0.0,0.0,1
know more about city centre?,0.0,0.0,0.0,0.0,0.0,1
know more about curry garden?,0.0,0.0,0.0,0.0,0.0,1
know more about curry prince?,0.0,0.0,0.0,0.0,0.0,2
know more about either place?,0.0,0.0,0.0,0.0,0.0,3
know more about either restaurant?,0.0,0.0,0.0,0.0,0.0,1
know more about kirkwood house?,0.0,0.0,0.0,0.0,0.0,1
know more about midsummer house?,0.0,0.0,0.0,0.0,0.0,1
know more about pizza express?,0.0,0.0,0.0,0.0,0.0,1
know more about pizza hut?,0.0,0.0,0.0,0.0,0.0,1
know more about restaurant alimentum?,0.0,0.0,0.0,0.0,0.0,1
know more about saffron brasserie?,0.0,0.0,0.0,0.0,0.0,1
know more about the acorn?,0.0,0.01327800829875519,0.0,0.0,0.0,2
know more about the allenbell?,0.0,0.0,0.0,0.0,0.0,1
know more about the archway?,0.0,0.0,0.0,0.0,0.0,2
know more about the avalon?,0.0,0.0,0.0,0.0,0.0,1
know more about the express?,0.0,0.0,0.0,0.0,0.0,1
know more about the galleria?,0.0,0.0,0.0,0.0,0.0,1
know more about the gandhi?,0.0,0.0,0.0,0.0,0.0,1
know more about the ghandi?,0.0,0.0,0.0,0.0,0.0,1
know more about the gonville?,0.0,0.0,0.0,0.0,0.0,1
know more about the goodluck?,0.0,0.0,0.0,0.0,0.0,1
know more about the hotel?,0.0,0.0,0.0,0.0,0.0,1
know more about the menu?,0.0,0.0,0.0,0.0,0.0,2
know more about the niral?,0.0,0.0,0.0,0.0,0.0,1
know more about the nirala?,0.0,0.027866473149492022,0.0,0.0,0.0,1
know more about the place?,0.0,0.0017151401735268576,0.0,0.0,0.0,15
know more about the restaurant?,0.0,0.0,0.0,0.0,0.0,4
know more about their menu?,0.0,0.0,0.0,0.0,0.0,6
know more about this restaurant?,0.0,0.0,0.0,0.0,0.0,1
know more about yu garden?,0.0,0.0,0.0,0.0,0.0,1
know to help choose one?,0.0,0.0,0.0,0.0,0.0,1
larger rooms available right now?,0.0,0.0,0.0,0.0,0.0,1
leave from and go to?,0.0,0.0,0.0,0.0,0.0,1
like a little more information?,0.0,0.0,0.0,0.0,0.0,1
like a reservation there instead?,0.0,0.0,0.0,0.0,0.0,1
like a reservation with them?,0.0,0.0,0.0,0.0,0.0,1
like help booking a room?,0.0,0.0,0.0,0.0,0.0,1
like help booking a table?,0.0,0.0,0.0,0.0,0.0,2
like help in booking it?,0.0,0.0,0.0,0.0,0.0,3
like help making a reservation?,0.0,0.0,0.0,0.0,0.0,1
like help with a reservation?,0.0,0.0,0.0,0.0,0.0,1
like help with anything else?,0.0,0.022802850356294542,0.0,0.0,0.0,1
like help with booking it?,0.0,0.025945945945945948,0.0,0.0,0.0,1
like information about anything else?,0.0,0.0,0.0,0.0,0.0,1
like information on about it?,0.0,0.0,0.0,0.0,0.0,1
like information on anything else?,0.0,0.0,0.0,0.0,0.0,3
like me check on availability?,0.0,0.0,0.0,0.0,0.0,1
like me to book it?,0.0,0.0,0.0,0.0,0.0,7
like me to book you?,0.0,0.0,0.0,0.0,0.0,3
like me to check availability?,0.0,0.0,0.0,0.0,0.0,1
like me to do that?,0.0,0.0,0.0,0.0,0.0,1
like me to double check?,0.0,0.0,0.0,0.0,0.0,1
like me to look up?,0.0,0.0,0.0,0.0,0.0,1
like me to make reservations?,0.0,0.0,0.0,0.0,0.0,1
like more information about chiquito?,0.0,0.0,0.0,0.0,0.0,1
like more information about graffiti?,0.0,0.0,0.0,0.0,0.0,1
like more information about hakka?,0.0,0.0,0.0,0.0,0.0,1
like more information about it?,0.0,0.0,0.0,0.0,0.0,2
like more information about meghna?,0.0,0.0,0.0,0.0,0.0,1
like more information about nandos?,0.0,0.0,0.0,0.0,0.0,2
like more information about them?,0.0,0.0,0.0,0.0,0.0,10
like more information on it?,0.0,0.0,0.0,0.0,0.0,2
like more information on that?,0.0,0.0,0.0,0.0,0.0,1
like more information on them?,0.0,0.0,0.0,0.0,0.0,1
like the reservation to begin?,0.0,0.0210989010989011,0.0,0.0,0.0,1
like the reservation to start?,0.0,0.0,0.0,0.0,0.0,1
like to any other information?,0.0,0.0,0.0,0.0,0.0,1
like to ask about it?,0.0,0.0,0.0,0.0,0.0,1
like to book a reservation?,0.0,0.0,0.0,0.0,0.0,17
like to book a room?,0.0,0.0022523939661440572,0.0,0.0,0.0,67
like to book a table?,0.0,0.0009031543997802489,0.0,0.0,0.0,68
like to book that stay?,0.0,0.0,0.0,0.0,0.0,1
like to book the room?,0.0,0.0,0.0,0.0,0.0,1
like to book this hotel?,0.0,0.013597733711048164,0.0,0.0,0.0,2
like to book worth house?,0.0,0.0,0.0,0.0,0.0,1
like to change your reservation?,0.0,0.0,0.0,0.0,0.0,4
like to choose that one?,0.0,0.0,0.0,0.0,0.0,1
like to explore other options?,0.0,0.003859296482412061,0.0,0.0,0.0,5
like to find another hotel?,0.0,0.0,0.0,0.0,0.0,1
like to find another place?,0.0,0.0,0.0,0.0,0.0,1
like to find someplace else?,0.0,0.0,0.0,0.0,0.0,1
like to find somewhere else?,0.0,0.0,0.0,0.0,0.0,1
like to keep the booking?,0.0,0.0,0.0,0.0,0.0,1
like to keep your reservation?,0.0,0.0076971047723536044,0.0,0.0,0.0,6
like to know about bedouin?,0.0,0.0,0.0,0.0,0.0,1
like to know about cityroomz?,0.0,0.024806201550387603,0.0,0.0,0.0,1
like to know about cotto?,0.0,0.0,0.0,0.0,0.0,1
like to know about fitzbillies?,0.0,0.0,0.0,0.0,0.0,1
like to know about it?,0.0,0.0029629629629629637,0.0,0.0,0.0,6
like to know about them?,0.0,0.0002847789282198519,0.0,0.0,0.0,113
like to know about them??,0.0,0.0,0.0,0.0,0.0,1
like to know anything else?,0.0,0.0022202437236018254,0.0,0.0,0.0,67
like to know more information?,0.0,0.0,0.0,0.0,0.0,1
like to learn more about?,0.0,0.0,0.0,0.0,0.0,1
like to look at alternatives?,0.0,0.0,0.0,0.0,0.0,1
like to look somewhere else?,0.0,0.0049612403100775205,0.0,0.0,0.0,5
like to make a booking?,0.0,0.0010437051532941946,0.0,0.0,0.0,21
like to make a reservation?,0.0,0.001165943621911919,0.0,0.0,0.0,103
like to make reservations there?,0.0,0.0,0.0,0.0,0.0,1
like to onow anything else?,0.0,0.0,0.0,0.0,0.0,1
like to reserve a room?,0.0,0.005431309086722359,0.0,0.0,0.0,8
like to reserve a table?,0.0,0.0,0.0,0.0,0.0,3
like to rethink your reservation?,0.0,0.0,0.0,0.0,0.0,1
like to try another location?,0.0,0.0,0.0,0.0,0.0,1
like to try another option?,0.0,0.0,0.0,0.0,0.0,1
like to try another place?,0.0,0.0,0.0,0.0,0.0,2
like to try another restaurant?,0.0,0.0,0.0,0.0,0.0,2
like to try it out?,0.0,0.0,0.0,0.0,0.0,1
like to try something else?,0.0,0.0,0.0,0.0,0.0,3
like to try somewhere else?,0.0,0.0,0.0,0.0,0.0,1
like to try them out?,0.0,0.0,0.0,0.0,0.0,2
like to try this restaurant?,0.0,0.0,0.0,0.0,0.0,1
limehouse would meet your needs?,0.0,0.0,0.0,0.0,0.0,1
little more about their portions?,0.0,0.0,0.0,0.0,0.0,1
little seoul for you instead?,0.0,0.0,0.0,0.0,0.0,1
location and cancel your reservation?,0.0,0.0,0.0,0.0,0.0,1
location with a great view?,0.0,0.0,0.0,0.0,0.0,1
location with a seafood specialty?,0.0,0.0,0.0,0.0,0.0,1
look at another location instead?,0.0,0.0,0.0,0.0,0.0,1
look at another option instead?,0.0,0.024806201550387603,0.0,0.0,0.0,1
look at other dining options?,0.0,0.0,0.0,0.0,0.0,1
look at some other locations?,0.0,0.0,0.0,0.0,0.0,2
look at some other options?,0.0,0.0,0.0,0.0,0.0,6
look at some other places?,0.0,0.0,0.0,0.0,0.0,8
look at some other restaurants?,0.0,0.0,0.0,0.0,0.0,1
look at tandoori palace instead?,0.0,0.0,0.0,0.0,0.0,1
look elsewhere for a hotel?,0.0,0.0,0.0,0.0,0.0,1
look for a better option?,0.0,0.0,0.0,0.0,0.0,2
look for a different hotel?,0.0,0.0,0.0,0.0,0.0,1
look for a fancier option?,0.0,0.0,0.0,0.0,0.0,1
look for another dining option?,0.0,0.0,0.0,0.0,0.0,1
look for another similar place?,0.0,0.0,0.0,0.0,0.0,1
look for other hotel options?,0.0,0.0,0.0,0.0,0.0,1
look into some other places?,0.0,0.0,0.0,0.0,0.0,4
look into some other restaurants?,0.0,0.0,0.0,0.0,0.0,1
look into that for you?,0.0,0.0,0.0,0.0,0.0,1
looking for a better option?,0.0,0.0,0.0,0.0,0.0,1
looking for with your stay?,0.0,0.0,0.0,0.0,0.0,1
make a booking for you?,0.0,0.0,0.0,0.0,0.0,8
make a booking somewhere else?,0.0,0.0,0.0,0.0,0.0,1
make a reservation at eraina?,0.0,0.0,0.0,0.0,0.0,1
make a reservation for dinner?,0.0,0.0,0.0,0.0,0.0,1
make a reservation for you?,0.0,0.0021155517972945514,0.0,0.0,0.0,71
make a reservation somewhere else?,0.0,0.0,0.0,0.0,0.0,1
make a reservation there now?,0.0,0.011401425178147271,0.0,0.0,0.0,2
make a reservation there today?,0.0,0.0,0.0,0.0,0.0,2
make reservation at the restaurant?,0.0,0.0,0.0,0.0,0.0,1
make that reservation for you?,0.0,0.0,0.0,0.0,0.0,1
make you a reservation there?,0.0,0.0,0.0,0.0,0.0,4
making a reservation for dinner?,0.0,0.0,0.0,0.0,0.0,1
making a reservation for you?,0.0,0.0,0.0,0.0,0.0,1
making a reservation there today?,0.0,0.0,0.0,0.0,0.0,1
many people will be dining?,0.0,0.0,0.0,0.0,0.0,1
maybe it moved since then?,0.0,0.0,0.0,0.0,0.0,1
me check out other places?,0.0,0.0,0.0,0.0,0.0,4
me look for a place?,0.0,0.0,0.0,0.0,0.0,1
me look for another place?,0.0,0.0,0.0,0.0,0.0,18
me look into another place?,0.0,0.0,0.0,0.0,0.0,4
me to book a reservation?,0.0,0.0,0.0,0.0,0.0,5
me to book a room?,0.0,0.0,0.0,0.0,0.0,7
me to book a table?,0.0,0.0,0.0,0.0,0.0,3
me to book for you?,0.0,0.0,0.0,0.0,0.0,1
me to book it for?,0.0,0.0,0.0,0.0,0.0,1
me to book the hotel?,0.0,0.0,0.0,0.0,0.0,1
me to book the restaurant?,0.0,0.0,0.0,0.0,0.0,1
me to book the room?,0.0,0.0,0.0,0.0,0.0,1
me to book you there?,0.0,0.0,0.0,0.0,0.0,1
me to check another place?,0.0,0.0,0.0,0.0,0.0,1
me to check availability there?,0.0,0.019631901840490802,0.0,0.0,0.0,1
