reference_response_question_start,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
.would you like to make,0.0,0.0,0.0,0.0,0.0,1
according to past customers the,0.0,0.0,0.0,0.0,0.0,1
according to reviews of the,0.0,0.0,0.0,0.0,0.0,1
according to the reviews that,0.0,0.0,0.0,0.0,0.0,1
although no place is completely,0.0,0.0,0.0,0.0,0.0,1
any more information you would,0.0,0.0,0.0,0.0,0.0,1
any other questions i can,0.0,0.0,0.0,0.0,0.0,1
anythinf else i can help,0.0,0.0,0.0,0.0,0.0,1
anything else i can answer,0.0,0.0,0.0,0.0,0.0,1
anything else i can assist,0.0,0.0,0.0,0.0,0.0,1
anything else i can do,0.0,0.0,0.0,0.0,0.0,3
anything else i can help,0.0,0.004829436852099743,0.0,0.0,0.0,10
anything else today?,0.0,0.0,0.0,0.0,0.0,1
anything else you need help,0.0,0.0,0.0,0.0,0.0,1
anything else you want to,0.0,0.0,0.0,0.0,0.0,1
anything else you would like,0.0,0.005344064287374173,0.0,0.0,0.0,15
anything else?,0.0,0.0,0.0,0.0,0.0,2
anything you would like to,0.0,0.0,0.0,0.0,0.0,1
anythong else you would like,0.0,0.0,0.0,0.0,0.0,1
are there any other questions,0.0,0.0,0.0,0.0,0.0,24
are there any specific amenities,0.0,0.0,0.0,0.0,0.0,1
are you interested in a,0.0,0.005196225023177403,0.0,0.0,0.0,12
are you interested in any,0.0,0.0,0.0,0.0,0.0,1
are you interested in booking,0.0,0.0015503875968992252,0.0,0.0,0.0,16
are you interested in changing,0.0,0.0,0.0,0.0,0.0,1
are you interested in getting,0.0,0.0,0.0,0.0,0.0,1
are you interested in knowing,0.0,0.01254236941005397,0.0,0.0,0.0,4
are you interested in making,0.0,0.008846387782838763,0.0,0.0,0.0,8
are you interested in staying,0.0,0.014185671513839114,0.0,0.0,0.0,9
are you interested in trying,0.0,0.0,0.0,0.0,0.0,1
are you interested or should,0.0,0.01016949152542373,0.0,0.0,0.0,2
are you interested?,0.0,0.0,0.0,0.0,0.0,2
are you interesting in making,0.0,0.0,0.0,0.0,0.0,1
are you satisfied with the,0.0,0.0,0.0,0.0,0.0,1
are you still interested in,0.0,0.0015911162675064227,0.0,0.0,0.0,11
are you still interested or,0.0,0.004560570071258908,0.0,0.0,0.0,5
"are you still interested, or",0.0,0.0030141287284144425,0.0,0.0,0.0,7
are you still interested?,0.0,0.0,0.0,0.0,0.0,6
can i answer any additional,0.0,0.003256997455470739,0.0,0.0,0.0,9
can i answer any more,0.0,0.0,0.0,0.0,0.0,6
can i answer any other,0.0,0.0008827483030606818,0.0,0.0,0.0,85
can i answer anything else,0.0,0.001356273430998776,0.0,0.0,0.0,94
"can i answer anything else,",0.0,0.002483507954986419,0.0,0.0,0.0,9
can i answer anything else?,0.0,0.0012668250197941412,0.0,0.0,0.0,18
can i answer anything for,0.0,0.0,0.0,0.0,0.0,2
can i anwwer any other,0.0,0.0,0.0,0.0,0.0,1
can i assist you in,0.0,0.0,0.0,0.0,0.0,1
can i assist you with,0.0,0.003564356435643564,0.0,0.0,0.0,5
can i be of any,0.0,0.0,0.0,0.0,0.0,1
can i be of further,0.0,0.0,0.0,0.0,0.0,4
can i book a reservation,0.0,0.0,0.0,0.0,0.0,2
can i book a room,0.0,0.0,0.0,0.0,0.0,8
can i book a stay,0.0,0.0,0.0,0.0,0.0,2
can i book a table,0.0,0.0,0.0,0.0,0.0,4
can i book it for,0.0,0.007600950118764847,0.0,0.0,0.0,3
can i book it?,0.0,0.0,0.0,0.0,0.0,2
can i book this for,0.0,0.0,0.0,0.0,0.0,1
can i book you a,0.0,0.0074505238649592576,0.0,0.0,0.0,3
can i book you any,0.0,0.0,0.0,0.0,0.0,1
can i check availability for,0.0,0.0,0.0,0.0,0.0,1
can i check on availability,0.0,0.0,0.0,0.0,0.0,2
can i check on room,0.0,0.0,0.0,0.0,0.0,1
can i do anything else,0.0,0.0,0.0,0.0,0.0,1
can i find any more,0.0,0.005084745762711865,0.0,0.0,0.0,4
can i find any other,0.0,0.0,0.0,0.0,0.0,1
can i find out any,0.0,0.0,0.0,0.0,0.0,2
can i get you any,0.0,0.0,0.0,0.0,0.0,2
can i help answer anything,0.0,0.0,0.0,0.0,0.0,1
can i help with any,0.0,0.0,0.0,0.0,0.0,1
can i help with anything,0.0,0.0,0.0,0.0,0.0,5
can i help with making,0.0,0.0,0.0,0.0,0.0,1
can i help you book,0.0,0.00632411067193676,0.0,0.0,0.0,3
can i help you make,0.0,0.0,0.0,0.0,0.0,2
can i help you reserve,0.0,0.0,0.0,0.0,0.0,1
can i help you with,0.0,0.002293253189191955,0.0,0.0,0.0,135
can i let you know,0.0,0.0,0.0,0.0,0.0,1
can i look into another,0.0,0.0,0.0,0.0,0.0,1
can i make a booking,0.0,0.0,0.0,0.0,0.0,1
can i make a reservation,0.0,0.0,0.0,0.0,0.0,1
can i proceed and make,0.0,0.0,0.0,0.0,0.0,1
can i provide any more,0.0,0.0,0.0,0.0,0.0,1
can i provide any other,0.0,0.0,0.0,0.0,0.0,1
can i provide you more,0.0,0.0,0.0,0.0,0.0,1
can i reserve a room,0.0,0.0,0.0,0.0,0.0,2
can i reserve the outdoor,0.0,0.0,0.0,0.0,0.0,1
can i search for something,0.0,0.0,0.0,0.0,0.0,1
can i tell you anything,0.0,0.0,0.0,0.0,0.0,4
can we book?,0.0,0.0,0.0,0.0,0.0,1
can you help with anything,0.0,0.024273072060682688,0.0,0.0,0.0,1
can you tell me some,0.0,0.0,0.0,0.0,0.0,1
confusing huh?,0.0,0.010786516853932584,0.0,0.0,0.0,1
could i help you with,0.0,0.0,0.0,0.0,0.0,1
could you tell me when,0.0,0.0,0.0,0.0,0.0,1
did this help you at,0.0,0.0,0.0,0.0,0.0,1
did you need any more,0.0,0.0,0.0,0.0,0.0,1
did you still want to,0.0,0.0,0.0,0.0,0.0,1
did you want information on,0.0,0.0,0.0,0.0,0.0,1
did you want me to,0.0,0.0,0.0,0.0,0.0,2
did you want to book,0.0,0.0,0.0,0.0,0.0,1
did you want to try,0.0,0.0,0.0,0.0,0.0,1
do either of those sound,0.0,0.0,0.0,0.0,0.0,1
do have any other questions,0.0,0.0,0.0,0.0,0.0,1
do you any other questions,0.0,0.0,0.0,0.0,0.0,1
do you have additional questions?,0.0,0.01054945054945055,0.0,0.0,0.0,2
do you have another question?,0.0,0.0,0.0,0.0,0.0,2
do you have another questions,0.0,0.0,0.0,0.0,0.0,1
do you have any additional,0.0,0.003960396039603961,0.0,0.0,0.0,6
do you have any further,0.0,0.001491957417048722,0.0,0.0,0.0,17
do you have any more,0.0,0.0009288824383164008,0.0,0.0,0.0,13
do you have any other,0.0,0.001284457044251831,0.0,0.0,0.0,239
do you have anymore questions?,0.0,0.0,0.0,0.0,0.0,1
do you have further questions?,0.0,0.0,0.0,0.0,0.0,1
do you have other questions,0.0,0.004375569735642662,0.0,0.0,0.0,4
do you have other questions?,0.0,0.0,0.0,0.0,0.0,2
do you have questions about,0.0,0.0,0.0,0.0,0.0,1
do you need a reservation?,0.0,0.0,0.0,0.0,0.0,2
do you need additional information,0.0,0.0,0.0,0.0,0.0,1
do you need additional options,0.0,0.0,0.0,0.0,0.0,1
do you need any additional,0.0,0.0,0.0,0.0,0.0,3
do you need any more,0.0,0.0016537467700258402,0.0,0.0,0.0,15
do you need any other,0.0,0.0,0.0,0.0,0.0,20
do you need anymore information?,0.0,0.011175785797438886,0.0,0.0,0.0,2
do you need anything else,0.0,0.0,0.0,0.0,0.0,2
do you need anything else?,0.0,0.0008328513591671486,0.0,0.0,0.0,19
do you need assistance with,0.0,0.0,0.0,0.0,0.0,2
do you need help with,0.0,0.0,0.0,0.0,0.0,6
do you need me to,0.0,0.0,0.0,0.0,0.0,1
do you need more information,0.0,0.0,0.0,0.0,0.0,2
do you need more information?,0.0,0.0,0.0,0.0,0.0,7
do you need more specifics?,0.0,0.0,0.0,0.0,0.0,1
do you need to know,0.0,0.0027266263117261273,0.0,0.0,0.0,18
do you still think limehouse,0.0,0.0,0.0,0.0,0.0,1
do you still want a,0.0,0.0,0.0,0.0,0.0,2
do you still want your,0.0,0.0,0.0,0.0,0.0,1
do you want a booking?,0.0,0.0,0.0,0.0,0.0,2
do you want a reservation,0.0,0.0017301973506353074,0.0,0.0,0.0,9
do you want a reservation?,5.9350384954657994e-12,0.0019251284119379882,0.001934235976789168,0.0,0.001934235976789168,47
do you want a room,0.0,0.01016949152542373,0.0,0.0,0.0,2
do you want a room?,0.0,0.0,0.0,0.0,0.0,1
do you want a table,0.0,0.0,0.0,0.0,0.0,1
do you want any more,0.0,0.0,0.0,0.0,0.0,5
do you want anymore information?,0.0,0.0,0.0,0.0,0.0,1
do you want me to,0.0,0.0007852760736196321,0.0,0.0,0.0,25
do you want that or,0.0,0.022802850356294542,0.0,0.0,0.0,1
do you want the reservation?,0.0,0.0,0.0,0.0,0.0,1
do you want to book,0.0,0.003133833207015774,0.0,0.0,0.0,76
do you want to change,0.0,0.0,0.0,0.0,0.0,4
do you want to continue,0.0,0.0,0.0,0.0,0.0,1
do you want to dine,0.0,0.0,0.0,0.0,0.0,1
do you want to explore,0.0,0.0,0.0,0.0,0.0,8
do you want to get,0.0,0.0,0.0,0.0,0.0,1
do you want to go,0.0,0.0,0.0,0.0,0.0,2
do you want to know,0.0,0.0,0.0,0.0,0.0,67
do you want to look,0.0,0.0015017510493933104,0.0,0.0,0.0,41
do you want to make,0.0,0.0005990010145453633,0.0,0.0,0.0,122
do you want to search,0.0,0.0,0.0,0.0,0.0,1
do you want to stay,0.0,0.005010974610974611,0.0,0.0,0.0,15
do you want to try,0.0,0.0,0.0,0.0,0.0,2
does that sound good for,0.0,0.0,0.0,0.0,0.0,1
does that sound good to,0.0,0.0,0.0,0.0,0.0,21
does that sound good?,0.0,0.0,0.0,0.0,0.0,3
does that sound like a,0.0,0.0,0.0,0.0,0.0,4
does that sound like it,0.0,0.0,0.0,0.0,0.0,2
does that sound like something,0.0,0.0,0.0,0.0,0.0,2
does that sound ok?,0.0,0.0,0.0,0.0,0.0,2
does that sound okay for,0.0,0.0,0.0,0.0,0.0,2
does that sound okay to,0.0,0.0,0.0,0.0,0.0,2
does that sounds alright to,0.0,0.0,0.0,0.0,0.0,1
does that work for you?,0.0,0.0,0.0,0.0,0.0,3
does this sound like a,0.0,0.0,0.0,0.0,0.0,1
guests find the beds to,0.0,0.0,0.0,0.0,0.0,1
have you made a decision?,0.0,0.0,0.0,0.0,0.0,1
hope that's good enough to,0.0,0.0,0.0,0.0,0.0,1
how does it sound to,0.0,0.0,0.0,0.0,0.0,2
how does that sound or,0.0,0.0,0.0,0.0,0.0,1
how does that sound to,0.0,0.0,0.0,0.0,0.0,8
how else may i help,0.0,0.0,0.0,0.0,0.0,1
how many nights would you,0.0,0.0,0.0,0.0,0.0,1
how many people will be,0.0,0.0,0.0,0.0,0.0,3
how many people would you,0.0,0.0,0.0,0.0,0.0,1
how much space do you,0.0,0.0,0.0,0.0,0.0,1
"however, according to the reviews",0.0,0.0,0.0,0.0,0.0,1
"i am not sure, but",0.0,0.0,0.0,0.0,0.0,1
i can help you with?,0.0,0.0,0.0,0.0,0.0,2
i can try to select,0.0,0.0,0.0,0.0,0.0,1
i hope that's enough to,0.0,0.0,0.0,0.0,0.0,1
"i suggest we look elsewhere,",0.0,0.0,0.0,0.0,0.0,1
if seats are available and,0.0,0.0,0.0,0.0,0.0,1
if that sounds good to,0.0,0.0,0.0,0.0,0.0,1
"if that's important to you,",0.0,0.0,0.0,0.0,0.0,1
"if you would like, i",0.0,0.0,0.0,0.0,0.0,1
if you'd like i can,0.0,0.0,0.0,0.0,0.0,1
india house does have alcoholic,0.0,0.0,0.0,0.0,0.0,1
is here anything else you'd,0.0,0.0,0.0,0.0,0.0,3
is indoor decor important for,0.0,0.0,0.0,0.0,0.0,1
is that a deal breaker,0.0,0.0,0.0,0.0,0.0,1
is that a deal-breaker for,0.0,0.0,0.0,0.0,0.0,1
is that a deal-breaker?,0.0,0.0,0.0,0.0,0.0,1
is that all right for,0.0,0.0,0.0,0.0,0.0,1
is that enough?,0.0,0.0,0.0,0.0,0.0,1
is that going to be,0.0,0.0,0.0,0.0,0.0,12
is that important enough that,0.0,0.0,0.0,0.0,0.0,1
is that ok with you?,0.0,0.0,0.0,0.0,0.0,1
is that okay or do,0.0,0.0,0.0,0.0,0.0,1
is that okay with you?,0.0,0.0,0.0,0.0,0.0,2
is that okay?,0.0,0.0,0.0,0.0,0.0,3
is that something that sounds,0.0,0.0,0.0,0.0,0.0,1
is that the type of,0.0,0.0,0.0,0.0,0.0,1
is that within your budget?,0.0,0.0,0.0,0.0,0.0,1
is thee anything else you'd,0.0,0.0,0.0,0.0,0.0,1
is their anything else i,0.0,0.0,0.0,0.0,0.0,1
is there a particular drink,0.0,0.0,0.0,0.0,0.0,1
is there a specific drink,0.0,0.0,0.0,0.0,0.0,1
is there another location you'd,0.0,0.0,0.0,0.0,0.0,1
is there any more information,0.0,0.009109747571505004,0.0,0.0,0.0,12
is there any other assistance,0.0,0.0,0.0,0.0,0.0,1
is there any other information,0.0,0.0022180080142029995,0.0,0.0,0.0,34
is there anything else for,0.0,0.0,0.0,0.0,0.0,1
is there anything else i,0.0,0.0005234631485350424,0.0,0.0,0.0,180
is there anything else that,0.0,0.0009620809752902892,0.0,0.0,0.0,59
is there anything else you,0.0,0.0020324326480095026,0.0,0.0,0.0,81
is there anything else you'd,0.0,0.00046727498885630413,0.0,0.0,0.0,160
is there anything else you'ld,0.0,0.0,0.0,0.0,0.0,1
is there anything else?,0.0,0.0,0.0,0.0,0.0,2
is there anything further that,0.0,0.021500559910414344,0.0,0.0,0.0,1
is there anything more you,0.0,0.0,0.0,0.0,0.0,1
is there anything other information,0.0,0.0,0.0,0.0,0.0,1
is there anyting else i,0.0,0.0,0.0,0.0,0.0,2
is there something else you,0.0,0.022351571594877773,0.0,0.0,0.0,1
is there something else you'd,0.0,0.0,0.0,0.0,0.0,1
is this helpful?,0.0,0.0,0.0,0.0,0.0,1
is this something that will,0.0,0.0,0.0,0.0,0.0,1
it has been noted by,0.0,0.0,0.0,0.0,0.0,1
it is close to one,0.0,0.0,0.0,0.0,0.0,1
"it's right off the highway,",0.0,0.0,0.0,0.0,0.0,1
lan hong house does not,0.0,0.0,0.0,0.0,0.0,1
let's find another option for,0.0,0.0,0.0,0.0,0.0,1
may i book a table,0.0,0.0,0.0,0.0,0.0,2
may i book this for,0.0,0.0,0.0,0.0,0.0,1
may i book you a,0.0,0.0,0.0,0.0,0.0,1
may i help with anything,0.0,0.023272727272727278,0.0,0.0,0.0,1
may i help you with,0.0,0.0,0.0,0.0,0.0,6
may i please get the,0.0,0.0,0.0,0.0,0.0,1
may i tell you anything,0.0,0.0,0.0,0.0,0.0,1
maybe it moved since then?,0.0,0.0,0.0,0.0,0.0,1
nandos does not have any,0.0,0.0,0.0,0.0,0.0,1
need a reservation?,0.0,0.0,0.0,0.0,0.0,1
need anything else?,0.0,0.0,0.0,0.0,0.0,1
need me to book a,0.0,0.0,0.0,0.0,0.0,1
one customer said that the,0.0,0.0,0.0,0.0,0.0,1
one person said it was,0.0,0.0,0.0,0.0,0.0,1
only one person said that,0.0,0.0,0.0,0.0,0.0,1
or i should i help,0.0,0.0,0.0,0.0,0.0,1
or is there something else,0.0,0.0,0.0,0.0,0.0,1
or should i cancel the,0.0,0.0,0.0,0.0,0.0,1
past customers of the autumn,0.0,0.0,0.0,0.0,0.0,1
ready to book?,0.0,0.023272727272727278,0.0,0.0,0.0,1
shall i book a reservation,0.0,0.0,0.0,0.0,0.0,1
shall i book a room,0.0,0.0033298647242455785,0.0,0.0,0.0,6
shall i book a room?,0.0,0.0,0.0,0.0,0.0,1
shall i book a table,0.0,0.0,0.0,0.0,0.0,3
shall i book it for,0.0,0.0,0.0,0.0,0.0,6
"shall i book it, or",0.0,0.0,0.0,0.0,0.0,1
shall i book it?,0.0,0.0,0.0,0.0,0.0,1
shall i book you?,0.0,0.0,0.0,0.0,0.0,1
shall i book?,0.0,0.0,0.0,0.0,0.0,1
shall i check on avaibility,0.0,0.0,0.0,0.0,0.0,1
shall i check on availability,0.0,0.0,0.0,0.0,0.0,3
shall i check on little,0.0,0.0,0.0,0.0,0.0,1
shall i continue the search,0.0,0.0,0.0,0.0,0.0,1
shall i find another option,0.0,0.0,0.0,0.0,0.0,1
shall i go ahead and,0.0,0.0,0.0,0.0,0.0,1
shall i go ahead with,0.0,0.022802850356294542,0.0,0.0,0.0,1
shall i look for a,0.0,0.0,0.0,0.0,0.0,1
shall i note on your,0.0,0.0,0.0,0.0,0.0,1
shall i seach for an,0.0,0.0,0.0,0.0,0.0,1
shall i search for a,0.0,0.0,0.0,0.0,0.0,1
shall i search for an,0.0,0.0,0.0,0.0,0.0,3
shall i search for another,0.0,0.0,0.0,0.0,0.0,2
shall i search for something,0.0,0.023272727272727278,0.0,0.0,0.0,1
shall i try one of,0.0,0.0,0.0,0.0,0.0,1
shall we book a reservation?,0.0,0.0,0.0,0.0,0.0,1
should i add a request,0.0,0.0,0.0,0.0,0.0,1
should i book a reservation?,0.0,0.0,0.0,0.0,0.0,2
should i book a room,0.0,0.004664723032069972,0.0,0.0,0.0,4
should i book a table,0.0,0.002113606340819023,0.0,0.0,0.0,12
