,count
"('Do', 'you')",831
"('you', 'want')",466
"('want', 'to')",360
"('to', 'make')",474
"('make', 'a')",467
"('a', 'reservation')",281
"('reservation', 'now?')",13
"('Would', 'you')",2547
"('you', 'like')",2612
"('like', 'to')",1745
"('to', 'know')",1018
"('know', 'more')",607
"('more', 'about')",614
"('about', 'them?')",583
"('about', 'the')",233
"('the', 'place?')",20
"('know', 'anything')",222
"('anything', 'else')",718
"('else', 'about')",106
"('about', 'it?')",37
"('to', 'book')",673
"('book', 'a')",524
"('reservation', 'there?')",82
"('reservation', 'anyway?')",5
"('a', 'room?')",159
"('like', 'me')",838
"('me', 'to')",883
"('to', 'check')",86
"('check', 'out')",66
"('out', 'some')",40
"('some', 'other')",97
"('other', 'places')",31
"('places', 'with')",27
"('with', 'better')",98
"('better', 'ratings?')",43
"('a', 'reservation?')",398
"('a', 'booking?')",57
"('to', 'search')",18
"('search', 'for')",59
"('for', 'a')",43
"('a', 'better')",30
"('better', 'decorated')",1
"('decorated', 'option')",1
"('option', 'for')",34
"('for', 'you?')",609
"('Should', 'I')",154
"('I', 'check')",23
"('check', 'on')",43
"('on', 'availability')",18
"('availability', 'for')",24
"('for', 'your')",25
"('your', 'travel')",3
"('travel', 'dates?')",3
"('Is', 'there')",541
"('there', 'anything')",490
"('else', 'I')",198
"('I', 'can')",318
"('can', 'help')",232
"('help', 'you')",397
"('you', 'with')",206
"('with', 'today?')",47
"('else', ""you'd"")",166
"(""you'd"", 'like')",178
"('to', 'know?')",129
"('Can', 'I')",439
"('I', 'answer')",229
"('answer', 'any')",102
"('any', 'other')",440
"('other', 'questions')",224
"('questions', 'about')",133
"('the', 'guest')",7
"('guest', 'house')",4
"('house', 'for')",2
"('answer', 'anything')",126
"('anything', 'else,')",11
"('else,', 'or')",11
"('or', 'would')",68
"('would', 'you')",111
"('book', 'it?')",116
"('to', 'find')",251
"('find', 'another')",138
"('another', 'place')",93
"('place', 'with')",110
"('better', 'reviews?')",12
"('anything', 'else?')",307
"('Could', 'I')",1
"('I', 'help')",163
"('with', 'anything')",156
"('Sounds', 'good,')",8
"('good,', 'right?')",8
"('about', 'them')",85
"('them', 'or')",85
"('or', 'should')",96
"('should', 'I')",92
"('I', 'look')",59
"('look', 'at')",67
"('at', 'some')",24
"('other', 'places?')",57
"('you', 'have')",309
"('have', 'any')",280
"('the', 'hotel?')",36
"('or', 'book')",13
"('a', 'table?')",151
"('about', 'this')",18
"('this', 'restaurant?')",4
"('you', 'still')",66
"('still', 'like')",24
"('to', 'keep')",11
"('keep', 'your')",9
"('your', 'reservation?')",25
"('look', 'for')",124
"('for', 'another')",98
"('another', 'place?')",84
"('the', 'Lensfield')",1
"('Lensfield', 'or')",1
"('check', 'into')",2
"('into', 'other')",1
"('book', 'you')",76
"('you', 'a')",109
"('a', 'table')",184
"('table', 'to')",1
"('to', 'eat')",3
"('eat', 'outdoors?')",1
"('you', 'with?')",177
"('other', 'questions?')",135
"('want', 'a')",68
"('Will', 'that')",61
"('that', 'work')",50
"('work', 'for')",47
"('for', 'you')",140
"('you', 'or')",32
"('I', 'find')",25
"('another', 'option?')",39
"('like', 'a')",85
"('reservation', 'with')",1
"('with', 'them?')",2
"('any', 'further')",19
"('further', 'questions?')",15
"('that', 'be')",2
"('be', 'okay,')",2
"('okay,', 'or')",2
"('at', 'one')",7
"('one', 'of')",15
"('of', 'the')",20
"('the', 'other')",9
"('other', 'upscale')",1
"('upscale', 'options?')",1
"('Does', 'that')",43
"('that', 'sound')",50
"('sound', 'good?')",3
"('another', 'restaurant')",15
"('restaurant', 'that')",7
"('that', 'serves')",5
"('serves', 'larger')",1
"('larger', 'portions?')",1
"('to', 'contact')",3
"('contact', 'the')",3
"('the', 'hotel')",16
"('hotel', 'to')",1
"('to', 'ask')",4
"('ask', 'them')",7
"('them', 'directly?')",6
"('Want', 'a')",3
"('you', 'need')",172
"('need', 'anything')",21
"('there', 'any')",72
"('other', 'information')",57
"('information', 'that')",21
"('that', 'you')",40
"('you', 'need?')",37
"('know', 'more?')",35
"('Want', 'to')",59
"('a', 'room')",174
"('room', 'at')",19
"('at', 'the')",12
"('the', 'Ashley?')",1
"('find', 'a')",97
"('a', 'place')",66
"('better', 'ratings')",6
"('ratings', 'on')",6
"('on', 'the')",20
"('the', 'view?')",1
"('out', 'other')",8
"('to', 'a')",2
"('a', 'restaurant')",12
"('restaurant', 'with')",15
"('with', 'a')",30
"('better', 'view?')",8
"('another', 'option')",23
"('to', 'look')",149
"('look', 'elsewhere?')",25
"('to', 'go')",13
"('go', 'ahead')",24
"('ahead', 'and')",20
"('and', 'book')",17
"('to', 'see')",21
"('see', 'if')",19
"('if', 'they')",10
"('they', 'have')",11
"('have', 'some')",2
"('some', 'of')",1
"('of', 'their')",3
"('their', 'larger')",2
"('larger', 'rooms')",3
"('rooms', 'available')",1
"('available', 'right')",1
"('right', 'now?')",1
"('I', 'book')",142
"('table', 'for')",93
"('can', 'find')",21
"('find', 'out')",27
"('out', 'for')",7
"('you', 'about')",59
"('about', 'The')",15
"('The', 'Gandhi?')",2
"('Want', 'more')",1
"('more', 'info')",3
"('info', 'or')",2
"('or', 'to')",1
"('keep', 'searching?')",4
"('find', 'you')",2
"('you', 'another')",1
"('else', 'you')",108
"('need', 'to')",72
"('another', 'Chinese')",2
"('Chinese', 'restaurant')",1
"('restaurant', 'for')",18
"('room', 'there?')",63
"('place', 'for')",12
"('questions', 'for')",54
"('or', 'shall')",19
"('shall', 'I')",19
"('like', 'help')",28
"('help', 'booking')",7
"('booking', 'a')",37
"('I', 'be')",5
"('be', 'of')",5
"('of', 'further')",4
"('further', 'assistance?')",2
"('need', 'more')",20
"('more', 'information?')",73
"('to', 'try')",57
"('try', 'a')",9
"('a', 'different')",38
"('different', 'option?')",3
"('know', 'about')",150
"('at', 'another')",16
"('another', 'location?')",7
"('Are', 'you')",88
"('you', 'interested')",56
"('interested', 'in')",85
"('in', 'booking')",32
"('booking', 'or')",4
"('like', 'another')",5
"('place', 'that')",27
"('that', 'has')",6
"('has', 'more')",1
"('more', 'options?')",7
"('that', 'does?')",14
"('make', 'your')",1
"('your', 'reservation')",4
"('to', 'reserve')",70
"('reserve', 'a')",66
"('room', 'for')",82
"('you', 'there')",1
"('there', 'or')",26
"('or', 'can')",11
"('can', 'I')",22
"('other', 'questions??')",1
"('What', 'else')",25
"('else', 'are')",1
"('are', 'you')",11
"('you', 'looking')",6
"('looking', 'for')",4
"('for', 'in')",1
"('in', 'a')",21
"('a', 'hotel')",3
"('hotel', 'in')",1
"('in', 'order')",1
"('order', 'to')",1
"('to', 'narrow')",1
"('narrow', 'down')",2
"('down', 'your')",2
"('your', 'choice?')",2
"('Anything', 'else?')",2
"('Sounds', 'friendly,')",1
"('friendly,', 'right?')",1
"('in', 'staying')",10
"('staying', 'there?')",9
"('What', 'days')",4
"('days', 'are')",1
"('looking', 'to')",1
"('to', 'stay')",33
"('stay', 'there?')",31
"('if', 'we')",1
"('we', 'can')",1
"('can', 'reserve')",1
"('a', 'window')",1
"('window', 'seat')",1
"('seat', 'for')",1
"('else', 'or')",26
"('days', 'will')",1
"('will', 'you')",2
"('you', 'be')",16
"('be', 'travelling?')",1
"('Anything', 'else')",33
"('help', 'with?')",8
"('need', 'any')",41
"('any', 'more')",71
"('more', 'information')",128
"('information', 'about')",84
"('the', 'restaurant?')",59
"('want', 'me')",29
"('reservation', 'for')",108
"('I', 'search')",40
"('better', 'option')",5
"('else', 'for')",58
"('the', 'Curry')",2
"('Curry', 'Prince,')",1
"('Prince,', 'or')",1
"('like', 'more')",83
"('information', 'on')",36
"('on', 'it?')",4
"('Shall', 'I')",41
"('I', 'continue')",3
"('continue', 'the')",1
"('the', 'search')",1
"('search', 'and')",1
"('and', 'find')",2
"('find', 'something')",5
"('something', 'quieter?')",3
"('I', 'reserve')",5
"('want', 'that')",1
"('that', 'or')",1
"('or', 'do')",42
"('do', 'you')",58
"('want', 'more')",2
"('information', 'first?')",2
"('else', 'that')",59
"('that', 'I')",84
"('you', 'satisfied')",1
"('satisfied', 'with')",1
"('with', 'the')",4
"('the', 'booking')",2
"('check', 'another')",4
"('another', 'hotel?')",8
"('table', 'there?')",18
"('for', 'you,')",14
"('you,', 'or')",13
"('I', 'run')",1
"('run', 'another')",1
"('another', 'search?')",4
"('to', 'choose')",2
"('choose', 'that')",1
"('that', 'one?')",1
"('reservation', 'at')",20
"('at', 'Allenbell')",1
"('Allenbell', 'for')",2
"('other', 'restaurants?')",6
"('place', 'in')",6
"('in', 'the')",15
"('the', 'same')",7
"('same', 'vicinity?')",3
"('Some', 'mixed')",1
"('mixed', 'signals')",1
"('signals', 'there,')",1
"('there,', 'eh?')",1
"('for', 'the')",7
"('the', 'outdoor')",2
"('outdoor', 'dining')",4
"('dining', 'area?')",1
"('in', 'making')",25
"('making', 'a')",34
"('Should', 'we')",8
"('we', 'look')",4
"('at', 'other')",18
"('other', 'options?')",45
"('you', 'would')",56
"('would', 'like')",54
"('about', 'their')",14
"('their', 'menu?')",10
"('book', 'it')",83
"('it', 'for')",77
"('for', 'other')",16
"('I', 'choose')",5
"('choose', 'another')",5
"('another', 'one')",1
"('one', 'instead?')",1
"('help', 'answer')",1
"('the', 'restaurant')",13
"('to', 'assist')",3
"('assist', 'you')",11
"('you', 'in')",3
"('to', 'cancel')",2
"('cancel', 'the')",4
"('booking', 'and')",1
"('and', 'look')",1
"('different', 'restaurant?')",2
"('more', 'questions')",19
"('questions', 'or')",15
"('the', 'availability')",6
"('availability', 'of')",6
"('the', 'larger')",1
"('larger', 'rooms?')",6
"('else', 'today?')",28
"('reserve', 'you')",14
"('table', 'now')",2
"('now', 'or')",4
"('have', 'other')",8
"('questions', 'I')",14
"('with', 'more')",17
"('more', 'offerings?')",1
"('you', 'there?')",12
"('at', 'Hobsons')",2
"('Hobsons', 'House?')",2
"('have', 'additional')",4
"('additional', 'questions?')",7
"('check', 'availability')",9
"('your', 'preferred')",2
"('preferred', 'days?')",1
"('your', 'party?')",7
"('with', 'any')",7
"('about', 'Hakka?')",2
"('try', 'one')",3
"('Did', 'you')",7
"('about', 'Nandos?')",5
"('the', 'property?')",11
"('like', 'any')",18
"('other', 'information?')",21
"('the', 'Worth')",3
"('Worth', 'House?')",5
"('you', 'at')",20
"('at', 'Ashley')",1
"('Ashley', 'Hotel?')",3
"('a', 'stay?')",2
"('table', 'outdoors?')",4
"('anything', 'for')",2
"('guest', 'house?')",7
"('booking', 'it?')",8
"('Sound', 'good')",45
"('good', 'enough')",3
"('enough', 'for')",2
"('Is', 'that')",28
"('that', 'going')",13
"('going', 'to')",13
"('to', 'be')",15
"('be', 'a')",12
"('a', 'problem')",3
"('problem', 'for')",1
"('Are', 'there')",25
"('questions', 'that')",32
"('can', 'try')",4
"('try', 'to')",10
"('to', 'answer')",3
"('answer', 'for')",25
"('at', 'this')",21
"('this', 'time?')",19
"('you', 'interested?')",2
"('other', 'hotels')",3
"('hotels', ""you'd"")",1
"('look', 'up?')",1
"('need', 'help')",8
"('help', 'with')",31
"('If', 'that')",1
"('that', 'sounds')",3
"('sounds', 'good')",2
"('good', 'to')",69
"('to', 'you,')",2
"('you,', 'then')",1
"('then', 'I')",1
"('I', 'will')",1
"('will', 'go')",1
"('The', 'Good')",1
"('Good', 'Luck')",1
"('Luck', 'Chinese')",1
"('Chinese', 'Food')",1
"('Food', 'Takeaway?')",1
"('to', 'give')",19
"('give', 'it')",5
"('it', 'a')",7
"('a', 'try?')",13
"('or', 'have')",35
"('have', 'me')",34
"('me', 'look')",25
"('room', 'there')",10
"('there', 'for')",6
"('restaurant', 'option')",1
"('room', 'here?')",1
"('other', 'nearby')",1
"('nearby', 'options?')",1
"('a', 'place?')",1
"('book', 'for')",2
"('any', 'additional')",22
"('additional', 'information?')",7
"('still', 'interested')",16
"('to', 'plan')",1
"('plan', 'a')",1
"('a', 'trip')",1
"('trip', 'there?')",1
"('for', 'me')",14
"('me', 'today?')",3
"(""Let's"", 'find')",1
"('about', 'Thanh')",2
"('Thanh', 'Binh?')",2
"('try', 'somewhere')",4
"('somewhere', 'else?')",20
"('information', 'I')",17
"('find', 'for')",15
"('', 'would')",14
"('a', 'delivery')",1
"('delivery', 'order')",1
"('order', 'or')",1
"('to', 'explore')",22
"('explore', 'more')",1
"('a', 'higher')",2
"('higher', 'rating')",2
"('rating', 'for')",2
"('for', 'indoor')",2
"('indoor', 'decor?')",3
"('about', 'Meghna?')",3
"('with', 'lower')",12
"('lower', 'prices?')",12
"('help', 'in')",8
"('to', 'continue')",7
"('continue', 'with')",6
"('What', 'is')",4
"('is', 'your')",4
"('your', 'budget?')",4
"('reservation', 'now')",1
"('have', 'more')",8
"('more', 'questions?')",8
"('table', 'now?')",11
"('a', 'booking')",15
"('booking', 'for')",9
"('table', 'or')",12
"('or', 'look')",13
"('for', 'something')",19
"('something', 'else?')",27
"('that', 'still')",10
"('still', 'work')",5
"('need', 'additional')",2
"('additional', 'information')",5
"('information', 'or')",10
"('or', 'keep')",5
"('else', ""you'ld"")",1
"(""you'ld"", 'like')",1
"('additional', 'questions')",14
"('about', 'Cityroomz?')",2
"('be', 'interested')",23
"('in', 'any')",1
"('hotels', 'in')",2
"('the', 'area?')",2
"('that', 'okay')",3
"('okay', 'with')",2
"('with', 'you?')",3
"('book', 'that')",10
"('that', 'for')",8
"('has', 'better')",3
"('better', 'reviews')",5
"('reviews', 'on')",3
"('the', 'noise')",1
"('noise', 'level?')",1
"('sound', 'like')",10
"('like', 'something')",2
"('something', 'you')",1
"('would', 'be')",1
"('interested', 'in?')",3
"('book', 'this')",7
"('this', 'for')",7
"('about', 'either')",16
"('either', 'of')",12
"('of', 'them?')",16
"('What', 'do')",2
"('reservation', 'there')",25
"('with', 'something')",4
"('the', 'Allenbell')",2
"('Allenbell', 'or')",1
"('me', 'check')",10
"('this', 'location')",6
"('location', 'for')",10
"('can', 'answer')",23
"('to', 'me')",5
"('me', 'find')",3
"('place', 'or')",11
"('reservation', 'here?')",1
"('I', 'assist')",6
"('else', 'can')",11
"('I', 'do')",4
"('do', 'for')",20
"('to', 'you?')",81
"('table', 'at')",17
"('at', 'either')",2
"('of', 'those?')",1
"('the', 'Dojo')",4
"('Dojo', 'Noodle')",7
"('Noodle', 'Bar?')",7
"('your', 'desired')",2
"('desired', 'date?')",1
"('other', 'assistance')",2
"('assistance', 'I')",1
"('can', 'provide')",2
"('provide', 'you')",2
"('you', 'today?')",28
"('another', 'location')",10
"('location', '?')",1
"('look', 'into')",20
"('into', 'the')",2
"('the', 'portion')",3
"('portion', 'size')",1
"('size', 'a')",1
"('a', 'little')",7
"('little', 'further?')",2
"('with', 'anymore')",1
"('anymore', 'information?')",4
"('sounds', 'alright')",1
"('alright', 'to')",1
"('try', 'another')",19
"('Chinese', 'restaurant?')",1
"('Which', 'one')",4
"('one', 'sounds')",2
"('sounds', 'better')",2
"('better', 'to')",2
"('I', 'suggest')",2
"('suggest', 'we')",1
"('look', 'elsewhere,')",1
"('elsewhere,', 'what')",1
"('what', 'do')",1
"('you', 'think?')",1
"('or', 'check')",19
"('out', 'a')",14
"('different', 'place?')",14
"('How', 'does')",11
"('does', 'that')",11
"('sound', 'to')",10
"('know', 'any')",3
"('other', 'things')",1
"('things', 'about')",1
"('restaurant', 'today?')",1
"('sound', 'okay')",4
"('okay', 'to')",2
"('better', 'portion')",2
"('portion', 'reviews?')",1
"('explore', 'other')",8
"('other', 'locations?')",4
"('about', 'Saigon')",2
"('Saigon', 'City?')",1
"('May', 'I')",13
"('hotel', 'for')",8
"('reservation', '?')",2
"('want', 'anymore')",1
"('a', 'time')",2
"('time', ""that's"")",1
"(""that's"", 'available?')",1
"('you', 'book')",5
"('book', 'the')",17
"('the', 'Gonville')",6
"('Gonville', 'Hotel?')",8
"('like', 'information')",7
"('information', 'on?')",2
"('better', 'decor?')",5
"('book', 'Arbury')",1
"('Arbury', 'Lodge')",3
"('Lodge', 'Guesthouse?')",3
"('your', 'stay?')",9
"('about', 'Royal')",5
"('Royal', 'Standard?')",3
"('make', 'you')",21
"('the', 'Golden')",1
"('Golden', 'Wok?')",2
"('with', 'or')",1
"('you', 'before')",1
"('before', 'making')",4
"('on', 'this')",1
"('make', 'reservation')",1
"('reservation', 'some')",2
"('some', 'place')",7
"('place', 'else?')",6
"('What', 'accommodations')",1
"('accommodations', 'are')",1
"('for', 'with')",1
"('with', 'your')",3
"('Sounds', 'nice,')",5
"('nice,', 'eh?')",2
"('that', 'offers')",2
"('offers', 'more')",2
"('more', 'variety?')",1
"('another', 'Japanese')",1
"('Japanese', 'restaurant?')",1
"('or', 'are')",5
"('you', 'ready')",2
"('ready', 'to')",2
"('it', 'now?')",3
"('about', 'your')",8
"('your', 'upcoming')",8
"('upcoming', 'reservation?')",3
"('like', 'additional')",2
"('about', 'Gonville?')",1
"('hotel', 'or')",1
"('into', 'it')",2
"('a', 'bit')",3
"('bit', 'further?')",1
"('about', 'Dojo')",3
"('for', 'others?')",1
"('out', 'more')",15
"('their', 'portions?')",2
"('like', 'the')",15
"('the', 'phone')",7
"('phone', 'number')",7
"('number', 'to')",3
"('to', 'the')",3
"('hotel', 'so')",5
"('so', 'that')",6
"('you', 'can')",8
"('can', 'inquire')",1
"('inquire', 'directly')",1
"('directly', 'with')",1
"('look', 'somewhere')",11
"('work', 'or')",11
"('find', 'an')",4
"('an', 'alternative')",2
"('alternative', 'location?')",1
"('either', 'restaurant?')",3
"('place', ""that's"")",2
"(""that's"", 'got')",2
"('got', 'a')",2
"('a', 'great')",3
"('great', 'view?')",2
"('that', 'a')",3
"('a', 'deal-breaker?')",1
"('continue', 'to')",2
"('the', 'room?')",3
"('more', 'or')",2
"('check', 'elsewhere?')",1
"('sound', 'good')",24
"('explore', 'some')",13
"('ratings', 'for')",2
"('for', 'service?')",1
"('I', 'make')",12
"('reservation', 'or')",15
"('or', 'is')",6
"('is', 'there')",4
"('one', 'would')",2
"('reservation', 'at?')",1
"('in', 'getting')",1
"('getting', 'a')",1
"('I', 'try')",11
"('try', 'something')",6
"('at', ""Hobson's"")",1
"(""Hobson's"", 'house?')",1
"('', 'do')",6
"('look', 'a')",1
"('little', 'further')",1
"('further', 'for')",1
"('for', 'more')",4
"('on', ""Nando's"")",1
"(""Nando's"", 'food')",1
"('food', 'portions?')",3
"('Royal', 'Spice,')",2
"('Spice,', 'or')",2
"('on', 'availability?')",6
"('give', 'the')",2
"('the', 'Gourmet')",2
"('Gourmet', 'Burger')",2
"('Burger', 'Kitchen')",1
"('Kitchen', 'a')",1
"('to', 'double')",2
"('double', 'check')",1
"('check', 'for')",3
"('a', 'deal-breaker')",2
"('deal-breaker', 'for')",2
"('at', 'Arbury')",1
"('with', 'making')",3
"('reservation', 'still?')",3
"('anything', 'more?')",2
"('Need', 'anything')",1
"('days', 'would')",2
"('be', 'staying?')",1
"('find', 'some')",3
"('other', 'options')",7
"('options', 'to')",1
"('to', 'explore?')",1
"('little', 'more')",3
"('still', 'interested?')",6
"('One', 'person')",1
"('person', 'said')",2
"('said', 'it')",1
"('it', 'was')",2
"('was', 'nice')",1
"('nice', 'and')",1
"('and', 'peaceful')",1
"('peaceful', 'for')",1
"('for', 'them')",1
"('them', 'though,')",1
"('though,', 'do')",1
"('the', 'Ashley')",1
"('Ashley', 'for')",1
"('make', 'the')",3
"('the', 'booking?')",5
"('check', 'one')",1
"('options', 'for')",3
"('at', 'Acorn')",3
"('Acorn', 'Guest')",4
"('Guest', 'House?')",7
"('What', 'nights')",1
"('nights', 'were')",1
"('were', 'you')",2
"('you', 'planning')",1
"('planning', 'to')",1
"('stay', 'and')",1
"('and', ""what's"")",1
"(""what's"", 'the')",1
"('the', 'size')",1
"('size', 'of')",1
"('of', 'your')",1
"('try', 'it?')",5
"('ahead', 'with')",4
"('better', 'staff')",5
"('staff', 'ratings?')",1
"('I', 'keep')",5
"('want', 'the')",1
"('the', 'reservation?')",3
"('reservation', 'to')",4
"('to', 'dine')",2
"('dine', 'there?')",2
"('need', 'anymore')",2
"('nice,', 'right?')",3
"('a', 'problem?')",7
"('like', 'it')",3
"('it', 'would')",1
"('would', 'work')",1
"('want', 'information')",1
"('on', 'anything')",6
"('this', 'location?')",12
"('that', 'something')",1
"('something', 'that')",2
"('like', 'some')",35
"('some', 'more')",33
"('on', 'La')",1
"('La', 'Tasca?')",2
"('other', 'suggestions?')",1
"('place', 'entirely?')",1
"('at', 'The')",2
"('The', 'Chiquito')",1
"('Chiquito', 'Restaurant')",1
"('Restaurant', 'Bar?')",1
"('if', ""there's"")",2
"(""there's"", 'a')",2
"('a', 'larger')",9
"('larger', 'room')",7
"('room', 'available?')",10
"('about', 'Wagamama?')",4
"('the', 'Cambridge')",2
"('Cambridge', 'Belfry?')",2
"('about', 'Kymmoy')",1
"('Kymmoy', 'that')",1
"('if', 'I')",1
"('time', 'that')",1
"('that', 'works?')",1
"('other', 'restaurants')",1
"('restaurants', 'in')",1
"('can', 'tell')",13
"('tell', 'you')",23
"('about', 'Yu')",2
"('Yu', 'Garden')",1
"('Garden', 'or')",1
"('or', 'any')",3
"('other', 'facility?')",1
"('the', 'Nirala?')",1
"('the', 'acorn')",3
"('acorn', 'guest')",3
"('try', 'them?')",5
"('', 'people')",1
"('people', 'seem')",1
"('seem', 'to')",1
"('to', 'like')",1
"('it', 'Do')",1
"('still', 'be')",7
"('at', 'Meze')",1
"('Meze', 'Bar?')",3
"('the', 'Alexander')",3
"('Alexander', 'B&B?')",2
"('I', 'anwwer')",1
"('anwwer', 'any')",1
"('room', 'somewhere')",2
"('still', 'interested,')",7
"('interested,', 'or')",7
"('different', 'hotel?')",3
"('about', 'Autumn')",1
"('Autumn', 'House?')",1
"('about', 'Pizza')",5
"('Pizza', 'Hut')",5
"('Hut', 'Cherry')",1
